input_id,type,title,model_status,description,authority,urgency,time_horizon,success_condition,evidence_ids,leverage_point_count
AUS-IN-11,Risk,Counterspace threat environment to all orbit regimes Australia uses,watch-only,"Demonstrated threats span kinetic and non-kinetic vectors: Russia's 15 November 2021 direct-ascent ASAT test destroyed Cosmos 1408, generating over 1,500 pieces of trackable debris that will threaten space activities for years (EV-RONINS20-07); China's 2007 Fengyun-1C intercept created the largest debris event in spaceflight history (EV-RONINS20-09); and China's SJ-21 demonstrated dual-use co-orbital capability by towing a defunct Beidou satellite ~3,000 km above the GEO belt in January 2022 (EV-RONINS20-10). The register carries a Medium-confidence assessment that grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre) is the normalised form of orbital competition, with proliferated LEO architectures the emerging resilience strategy (EV-RONINS20-02, register ASSESSMENT).","Defence Space Strategy 2022 (""defended if under attack"" objective, EV-AUINPUTS-04); 2024 IIP space control commitment (EV-AUINPUTS-08).","**Assessment:** High — the threat environment is the design driver for every resilience requirement in this register; it cannot be ""closed"", only desi",,,,0
AUS-IN-12,Risk,Partner and commercial service denial under concurrent demand,watch-only,"Two documented precedents. First, during the 2019–2020 Black Summer bushfires a partner nation was unable to provide requested weather satellite data because its satellite was required for its own disaster, and Australia had no sovereign capability to substitute (partner and satellite unnamed in the source) (EV-USSCSPAC-10). Second, the April 2023 Inmarsat I-4 F1 outage disabled GPS correction services for precision agriculture across four Australian states and New Zealand, with up to two-thirds of grain growers seeding that week expected to be affected (EV-CONVERSA-15). Continuity of civil PNT, weather and EO services rests on the policy and funding decisions of foreign governments (EV-CONVERSA-20, register ASSESSMENT).",No Australian policy document in the register addresses this risk class directly; SLACIP Act 2022 provides the regulatory hook (see AUS-IN-16).,"**Assessment:** High — both precedents are recent, real and low-cost to reproduce in a regional contingency where partner assets are committed to the partner's own needs.",,Pr,,0
AUS-IN-13,risk,Resourcing execution risk: domestic approval gap and US appropriations exposure,carried,"Domestically, ASPI's reading of the 2024 IIP is that only ~$590m of the $9-12bn planned space investment was actually approved through 2034 (EV-AUINPUTS-09, TO_VERIFY) against a strategy conceding it lacks the what/how/when of execution (EV-AUINPUTS-06); analyst commentary reports DARC support costs pressuring JP9360 (EV-AUINPUTS-14, Low). On the partner side, TraCSS faces funding cuts (EV-USSCSPAC-17) and Landsat Next is uncertain in US budget debates despite Australia's commitment (EV-USSCSPAC-19). Carried from the register 2026-07-18; the model's time_resources scores citing the IIP envelope now carry the planned-vs-approved caveat.",2024 IIP (funding envelopes); approved-funding figure unconfirmed in the register,High,Immediate to Near,Custodian-verified reconciliation of approved vs planned space funding against the 2026 IIP; US-exposed programs covered by fallback arrangements or documented risk acceptance.,EV-AUINPUTS-09; EV-AUINPUTS-06; EV-AUINPUTS-14; EV-USSCSPAC-17; EV-USSCSPAC-19,1
AUS-IN-14,capability_gap,Layered space domain awareness (JP9360),carried,"JP9360 seeks a distributed, multi-technology capability for threat warning, attribution, detection, tracking and characterisation of space objects, building on the Exmouth C-band radar and Space Surveillance Telescope.",JP9360 tranche-based program; Defence Space Strategy 2022 ($2b SSA line to 2038),High,0-10 years (rolling tranches),Tranche deliveries provide Defence-usable threat warning and attribution across orbits.,EV-AUINPUTS-12; EV-AUINPUTS-06; EV-USSFCSPO-11; EV-USSFCSPO-12,5
AUS-IN-15,capability_gap,Resilient PNT for the ADF in GNSS-degraded environments,carried,"Defence established a Joint PNT Directorate in April 2024 and runs a Quantum-Assured PNT STaR Shot; nationally, Australia relies wholly on foreign-owned GNSS (GPS, QZSS and others) with no sovereign constellation.",Joint PNT Directorate (est. April 2024); DSTG STaR Shots,High,0-7 years,ADF maintains accurate PNT in the absence of GNSS signals; national augmentation resilience improved.,EV-AUINPUTS-15; EV-AUINPUTS-16; EV-CONVERSA-01; EV-CONVERSA-08,4
AUS-IN-16,operational_need,Continuity of space-enabled critical national functions,carried,"Subsea cables, landing stations, space links and the private networks that run them are vital functions to harden against hybrid disruption, with planned national workarounds if they fail (EV-TOTALDEF-08, Army-sponsored research, not policy; transferable-mechanisms assessment EV-TOTALDEF-21). The SLACIP Act 2022 already includes space technology among eleven critical infrastructure sectors (EV-CONVERSA-13). Carried from the register 2026-07-18: no evidence of exercised continuity plans for space-service failure exists in the register.",SLACIP Act 2022; AARC OP39 is indicative Army-sponsored thinking only (EV-TOTALDEF-20),Medium,Immediate to Near,"Space-enabled vital functions mapped with exercised continuity plans per service class (PNT, SATCOM, EO/weather); priority space-service agreements upgraded from goodwill/commercial terms to defined availability and crisis-priority clauses.",EV-TOTALDEF-08; EV-TOTALDEF-21; EV-TOTALDEF-20; EV-CONVERSA-13,1
AUS-IN-17,policy_priority,Sustain allied SDA hosting while protecting sovereign SDA funding,carried,"DARC hosting demonstrates Australia's southern-hemisphere value, but commentary reports DARC support costs create funding pressure on the sovereign JP9360 program - a tension requiring explicit management.",DARC trilateral MoU (announced 1-2 Dec 2023); JP9360 program,Medium,0-5 years,DARC Site 1 reaches full operations (expected 2027) without displacing JP9360 tranche funding.,EV-AUINPUTS-13; EV-AUINPUTS-14,4
AUS-IN-18,ExistingOpportunity,Established alliance and bilateral space cooperation instruments,watch-only,"Australia is a founding participant in Combined Space Operations: seven nations (Australia, Canada, France, Germany, New Zealand, UK, US) released the CSpO Vision 2031 statement on 22 February 2022 (Australia's announcement dated 23 February local time), committing to information sharing, aligned policy development and combined national-security space capability (EV-RONINS20-03 as corrected). Post-2022 CSpO enlargement (e.g. Japan) is unconfirmed (EV-RONINS20-04, TO_VERIFY). Bilaterally: the ASA and US Office of Space Commerce signed a Joint Statement of Intent on SSA cooperation on 17 October 2024, covering re-entry monitoring and referencing TraCSS and the ASA's Civil Space Monitoring Pathfinder (EV-USSCSPAC-16); a 2010 ""Space Situational Partnership Statement of Principles"" with the US is claimed by USSC but needs confirmation from AUSMIN 2010 records (EV-USSCSPAC-15, TO_VERIFY); the ASA holds formal bilateral agreements with 15 nations and the US TSA entered into force July 2024 (EV-CONVERSA-17).",CSpO Vision 2031 (2022); ASA–OSC Joint Statement of Intent (2024); US–Australia Technology Safeguards Agreement (2,,,,,0
AUS-IN-19,existing_opportunity,"Sovereign R&D, industrial base and cal/val niche as partnership currency",carried,"Offer-side assets evidenced in the register: DSTG Quantum-Assured PNT and Resilient Multi-Mission Space STaR Shots (EV-AUINPUTS-16); a $4.6bn/~17,000-FTE space sector with nine Australian satellites launched in 2024 (EV-CONVERSA-16); EO calibration/validation niche (EV-USSCSPAC-03); USSC recommendations to recognise sovereign assets for burden-sharing (EV-USSCSPAC-06, EV-USSCSPAC-07). January 2026 Space Machines Company award TO_VERIFY (EV-USSCSPAC-20). Carried from the register 2026-07-18: without the offer side, dependency-driven partnerships negotiate from weakness.",DSTG STaR Shots program; Australian Space Sector Fact Sheet (rev 29 July 2025),Medium,Near to Mid,At least one STaR Shot output or cal/val service formally contracted into a partner program; industrial-base contributions explicitly priced as Australian offsets in partnership agreements.,EV-AUINPUTS-16; EV-CONVERSA-16; EV-USSCSPAC-03; EV-USSCSPAC-06; EV-USSCSPAC-07; EV-USSCSPAC-20,1
AUS-IN-20,policy_priority,Pacific space-enabled connectivity and resilience assistance,carried,Pacific states dependent on single submarine cables are adopting LEO satellite services amid strategic competition; the Boe Declaration and 2050 Strategy give Australia a Pacific-endorsed frame for space-enabled connectivity and MDA assistance.,Boe Declaration 2018; 2050 Strategy for the Blue Pacific Continent; Australian CCRC funding,Medium,0-5 years,Australian-supported connectivity and space-enabled services are adopted through Pacific-led mechanisms.,EV-PACIFIC-06; EV-PACIFIC-07; EV-PACIFIC-21; EV-PACIFIC-01,4
AUS-IN-21,policy_priority,Civil SSA and space traffic cooperation,carried,The ASA-US Office of Space Commerce Joint SoI (17 Oct 2024) covers re-entry monitoring and prediction referencing TraCSS and the Civil Space Monitoring Pathfinder; debris monitoring is a national civil priority area.,ASA-OSC Joint Statement of Intent (17 Oct 2024); ASA civil priority areas,Medium,0-5 years,Operational civil SSA data exchange with partners survives US program funding uncertainty.,EV-USSCSPAC-16; EV-USSCSPAC-17; EV-AUINPUTS-17,3
AUS-IN-22,opportunity_window,"USSF Force Design integration window (IPS LOE 1, 2025-26)",carried,"The USSF International Partnership Strategy invites allies into Force Design from the start - common baseline taxonomy and interoperability requirements for the objective force - a task open now on a 5-15 year design horizon, with Australia holding named equities and an allied-officer channel.",USSF International Partnership Strategy (released 8 July 2025),High,"0-3 years (window), 5-15 years (effect)",Australian requirements are embedded in USSF objective-force taxonomy and capability area designs.,EV-USSFCSPO-02; EV-USSFCSPO-03; EV-USSFCSPO-05; EV-USSFCSPO-20,4
AUS-IN-23,constraint,Export-control geometry: AUKUS licence-free versus permits for all other partners,carried,"Most DSGL space technology moves permit-free among AU/UK/US, while equivalent collaboration with Japan, India, ESA states and commercial customers still requires DEC permits (reg 13E, s10, s10A, s10C) - a structural asymmetry shaping every non-AUKUS space partnership.",Defence Trade Controls Amendment Act 2024; DSGL 2024,Medium,Enduring,Permit pathways and country-list settings match partnership ambitions without compliance surprises.,EV-DECDSGL-21; EV-DECDSGL-22; EV-AUKUSLFE-14,4
AUS-IN-24,strategic_asset,Southern-hemisphere geography and ground-segment hosting as the national value proposition,carried,"Australia's geography, low population density and landscape diversity underpin allied SDA sensing (Exmouth concentration), EO calibration/validation, TT&C hosting (Cocos for ISRO) and launch/return access - the most credible near-term alliance offering.",Open-source assessments (USSC 2026; corroborated sensor basing facts),Medium,Enduring,"Ground-segment hosting is priced, governed and reciprocated as a deliberate national offer.",EV-USSCSPAC-02; EV-USSCSPAC-22; EV-RONINS20-16; EV-QUADINDI-22,4
