scenario_id,scenario,question,opportunity_id,impact,fallback,assessment
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-07,Force-design integration decides whether Australian systems interoperate under fire in 2030s architectures.,"Interface-level interoperability retrofits (costlier, later).","Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-16,GPS-independent commercial PNT moves from experiment to gap-filler if fielded in time.,Terrestrial NAVWAR aids only.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-10,LIVE CASE: the FY2026 US request funds no Landsat Next as designed after Australia committed A$207.4m+; no Australian response yet evidenced.,"Copernicus hub, Japan legs, commercial EO (OPP-20).",Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-07,US reorganisation churn is demonstrated (Space Futures Command cancelled before activation; tasks moved to SF/S9).,Institution-agnostic planner relationships; CSpO hedge.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-02,PWSA-connection intent is reported but unofficial; a US pivot would strand integration work.,JCO commercial tier and Germany/Japan sensor legs.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-15,MGUE accession delay already shows partner-process dependency.,Sovereign quantum line continues regardless.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-13,UAE engagement is hostage to third-party (US-UAE) technology politics.,Hold treatment already applied.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-19,A Quad-partner pullback would thin IPMDA funding but the FFA delivery channel would survive.,Direct Australian contract with data providers.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-04,Partner withdrawal,"A partner government restructures, defunds or withdraws from a program Australia has bought into - what breaks?",OPP-12,"Indian program slips (Gaganyaan, MAITRI NET 2027) delay but do not cancel the cooperation line.",Stretch timelines; hold grant milestones.,Withdrawal risk is concentrated in Washington (DEP-10) and is not hypothetical - Landsat Next is a live restructure against an Australian nine-figure commitment. The framework treatment (fallback defined before commitment; risk acceptance documented) should be retrofitted to every US-exposed line at the next AUSMIN.
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-01,Optus C1 is beyond original design life in inclined orbit; the April 2023 Inmarsat I-4 F1 outage is the class precedent.,IS-22 capacity shift and accelerated SPA9102 delivery.,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-14,Single sovereign GEO bird with ~10-year life concentrates risk at end-of-life - design margin and option satellites matter.,IS-22 extension options to 2041.,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-18,The commercial SDA base is thin: EOS has already pivoted away from SDA focus; consolidation could remove a layer.,Multi-provider contracts; allied-hosted sensors carry core catalogue.,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-16,LEO-PNT vendors are pre-revenue; failure is the base case to plan against.,Evaluation-only posture until maturity.,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-11,Starlink policy change or Kacific failure would strip Pacific resilience overnight (Kacific2 already on hold).,Community gateways + cable redundancy + multi-vendor procurement.,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-05,Commercial failure,"A commercial provider fails in orbit, exits the market or is acquired by a hostile-influenced owner - what is exposed?",OPP-20,Single-vendor DAP concentration; Maxar corporate changes would hit assured access.,Planet-class multi-vendor spread (NSW precedent).,"Commercial failure is a demonstrated Australian experience (Inmarsat I-4 F1, 2023), and V7 s54 commercial-mechanism conditions (continuity, data rights, surge, sovereignty) are the standing treatment. Every commercial leg in the v2 portfolio should carry those clauses before it is counted as resilience. (Red-team 2026-07-18: the s54 clause set is now a recorded condition on OPP-14 and OPP-20 mecha"
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-07,LIVE CASE: releasability of USSF Force Design artefacts to Australia is the recorded Unknown capping this A-band option.,Work unclassified taxonomy layers; validate release tier via the SoI channel.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-08,STANDING RED: MTCR launch-vehicle exclusions from the AUKUS exemption block the highest-scoring option.,Individual US licences; German commercial launch leg.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-02,Ten-nation release differentials complicate every multilateral SDA exchange.,Bilateral tiers plus commercial-unclassified layer.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-09,Japan sits in CSpO but outside MNF-OOD - release geometry fragments the coalition.,Shareable-tier serials; support US-led evaluation of Japanese membership.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-04,Deliberately designed at the shareable tier - resilient to this scenario.,None needed at current scope.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-18,Commercial-unclassified JCO tier is the portfolio's systemic mitigation to release denial.,Direct commercial contracts remain open.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-06,Information-release denial,Required information cannot be released to Australia (or by Australia to a partner) - which options stall?,OPP-12,DEC permit friction with India is the export-control expression of the same problem.,PACTS-track pre-clearance; scope to unclassified payloads.,"Release denial is the portfolio's most common binding gap (it caps OPP-07, blocks OPP-08, and shapes OPP-02/09/12). The two structural answers are the commercial-unclassified layer (OPP-18) and shareable-tier design (OPP-04); everything else needs release matrices negotiated case by case."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-05,LIVE CASE: QZS-7 postponed by the H3 F8 failure investigation - single-launcher dependency delays the QZSS constellation and its hosted US SDA payload.,Five-satellite QZSS service continues; re-baseline hosting study.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-10,Landsat Next's single-vehicle three-satellite design (and its descoped successor) concentrates launch risk; Himawari-10 delay compounds cadence risk.,Cross-constellation layering (Sentinel-2C transition already executed).,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-12,A Cosmos-1408-class debris event would make the debris-management mission line premium and urgent.,Accelerate MAITRI follow-on scoping with Quad visibility.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-02,Catalogue-maintenance demand surges after any fragmentation event - southern-hemisphere sensors become premium capacity.,Commercial radar surge (LeoLabs) purchase.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-18,Commercial layer provides surge tracking and NEI characterisation of damaged assets.,Allied tasking priority negotiation.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-14,A single GEO UHF bird is exposed to debris risk at one orbital slot - constellation insurance and manoeuvre margin are design requirements.,IS-22 continuity and allied narrowband leases.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-07,Space-system degradation,A major debris event or launch-failure cascade degrades shared orbital systems - how does the portfolio absorb it?,OPP-21,Exercise scenarios (Apollo Insights TTX series includes proliferated-constellation and nuclear-payload scenarios) rehearse exactly this.,None needed - this is the rehearsal vehicle.,"Degradation events are documented (Cosmos 1408: 1,500+ trackable fragments; Fengyun-1C) and the H3 cascade shows launch-failure coupling across programs. SDA options gain value in this scenario; single-bird SATCOM options need explicit debris/manoeuvre design conditions at Second Pass."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-01,The continuous-capability four-LOE model replaced discrete phases once already; partners must track shifting lines of effort.,"Anchor commitments in signed instruments, not program labels.","Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-14,Second Pass is the policy gate; budget pressure (SSN program growth toward $10bn/yr by 2033-34) is the documented competitor.,Descoped narrowband-only delivery with extended IS-22 bridge.,"Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-02,JP9360 direction change was flagged by industry at the JP9102 cancellation; tranche funding is exposed each IIP cycle.,Allied-hosted sensors carry the mission (at sovereignty cost).,"Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-18,Commercial layer is cheap enough to survive most resets - and is the reconstitution-friendly option.,Maintain minimum-viable contracts.,"Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-06,Leader-level elevation (July 2026 Joint Statement) insulates the India line from routine policy churn.,ASA instruments continue under civil settings.,"Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-08,Policy change,"Australian policy resets (a new NDS/IIP cycle, machinery-of-government change, or the long-absent national space policy arriving) - which options survive re-prioritisation?",OPP-11,Pacific assistance rides aid-budget settings; Boe/2050 framing gives it cross-government durability.,Quad-badged delivery (OPP-19) if bilateral budgets tighten.,"Australian policy volatility is documented (JP9102 and NSMEO cancellations, space strategy on hold, ASA advisory board dissolved). Options anchored in signed instruments, leader-level statements or delivered infrastructure survive resets; options resting on program labels do not. The absent national space policy (AUS-IN-06) remains the root fragility."
SCN-09,No new decisions,"If no recommendation in this pack is approved and the portfolio runs on current settings, what happens? (Do-nothing counterfactual assembled from existing assessments.)",OPP-14,The one live acquisition window closes: RFT responses due ~November 2026 pass without a sovereign narrowband decision (EV-MILSATCO-07).,"IS-22 extension options to 2041 as bridge - dependency, not capability.","Doing nothing is itself a decision: it selects the current dependency set (DEP-01/-02/-03/-05/-06) at 2026 prices, lets the only live window (SPA9102) lapse, and leaves every crisis mitigation counted in SCN-02 uncontracted. The cost of delay is concentrated in three dates the dataset already evidences: 19 August 2026 (RFT close, TO_VERIFY), ~November 2026 (responses), and 2027 (DARC FOC without d"
SCN-09,No new decisions,"If no recommendation in this pack is approved and the portfolio runs on current settings, what happens? (Do-nothing counterfactual assembled from existing assessments.)",OPP-01,Wideband architecture is set by dependency drift rather than deliberate choice as the 2029 WGS access horizon approaches (OPP-01 potential_effect; DEP-01).,WGS + C1 + IS-22 interim posture with no dated decision point before 2029.,"Doing nothing is itself a decision: it selects the current dependency set (DEP-01/-02/-03/-05/-06) at 2026 prices, lets the only live window (SPA9102) lapse, and leaves every crisis mitigation counted in SCN-02 uncontracted. The cost of delay is concentrated in three dates the dataset already evidences: 19 August 2026 (RFT close, TO_VERIFY), ~November 2026 (responses), and 2027 (DARC FOC without d"
