evidence_id,topic_key,research_round,label,confidence,claim,verification_verdict,verification_correction,confidence_note,conflict_note,source_title,source_org,source_date,source_ref,relevance,access_date,validation_status
EV-RONINS20-11,ronins-2026,,FACT,Medium,"The blog's claim that the US Space Force budget 'exceeds $53 billion for 2024' is contradicted by contemporaneous reporting: Congress enacted approximately $29 billion for the Space Force in FY2024 (up from $26.3 billion in FY2023, below the ~$30 billion request).",,,,,Space Force budget inches upward in tight fiscal year,SpaceNews,2024,https://spacenews.com/space-force-budget-inches-upward-in-tight-fiscal-year/,Partner capability — corrects blog figure on US resourcing; also flags blog's numerical reliability as a source,2026-07-18,Custodian validation pending
EV-RONINS20-12,ronins-2026,,FACT,Medium,"France is pursuing an 'active defence' space doctrine including the YODA program — small 'bodyguard' demonstrator satellites for close-proximity operations in GEO built on Hemeria platforms — with a follow-on (~100 kg patrol satellite, ARES program, potentially laser-armed) envisaged around 2030.",,,,,The Evolution of French Space Security / Our Military Space Operations,CSIS Aerospace Security Project / French Ministère des Armées,2024-03,http://aerospace.csis.org/wp-content/uploads/2024/04/240314_Young_French_Space.pdf,Partner capability — France (CSpO member) developing on-orbit protection capabilities relevant to allied burden-sharing,2026-07-18,Custodian validation pending
EV-RONINS20-13,ronins-2026,,TO_VERIFY,Low,"The blog names a French laser-dazzling program 'BLOOMLASE'; this program name could not be corroborated in any official or think-tank source accessed this session (French sources reference YODA, ARES and ground-based laser concepts instead).",,,,,Global Space Power Dynamics in 2026,Ronin's Grips Analytics Blog,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Partner capability — possible blog error or obscure program name; do not cite without French official confirmation,2026-07-18,Custodian validation pending
EV-RONINS20-14,ronins-2026,,FACT,High,"Australia hosts and operates (via RAAF, under 2010 AUSMIN Statement of Principles and a 2012 MoU with the US) the relocated US C-Band space surveillance radar at Naval Communication Station Harold E. Holt, Exmouth WA — the first low-Earth-orbit Space Surveillance Network sensor in the Southern Hemisphere — which reached Full Operational Capability in March 2017.",,,,,Australia's Space Surveillance Radar reaches Full Operational Capability,Australian Defence Ministers (media release),2017-03,https://www.minister.defence.gov.au/media-releases/2017-03-07/australias-space-surveillance-radar-reaches-full-operational-capability,Australian value proposition — unique Southern Hemisphere geography contributed to allied space domain awareness,2026-07-18,Custodian validation pending
EV-RONINS20-15,ronins-2026,,FACT,Medium,"The US Space Surveillance Telescope was relocated from White Sands, New Mexico to Exmouth, Western Australia under 2012–2013 US-Australia agreements, achieved first light in March 2020 and was operationally accepted in September 2022; a Deep-Space Advanced Radar Capability (DARC) site at Exmouth was scheduled to be the first of three (Australia, US, UK) operating by 2026.",,,,,"Space Surveillance Telescope facilities (parliamentary record) / Seeing through the DARC, deep into space",Parliament of Australia / ASPI The Strategist,2024,https://www.aspistrategist.org.au/seeing-through-the-darc-deep-into-space/,Australian value proposition / instrument — bilateral hosting agreements as concrete partnership instruments; DARC status as of mid-2026 needs confirmation,2026-07-18,Custodian validation pending
EV-RONINS20-16,ronins-2026,,ASSESSMENT,High,"The blog assesses that 'Australia's geography makes it indispensable for Southern Hemisphere space tracking'; this is analytically supported by the corroborated concentration of allied SDA sensors at Exmouth (C-band radar, Space Surveillance Telescope, planned DARC first site).",,,,,Global Space Power Dynamics in 2026 (corroborated by official Australian releases),Ronin's Grips blog / Australian Defence,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Australian value proposition — geography and ground segment as Australia's principal contribution to space partnerships,2026-07-18,Custodian validation pending
EV-RONINS20-17,ronins-2026,,ASSESSMENT,Medium,"The blog asserts Starlink proved resilient against Russian electronic warfare in Ukraine, using it as evidence that commercial proliferated constellations are strategically significant; this is consistent with widely reported experience but was not corroborated against a government source this session.",,,,,Global Space Power Dynamics in 2026,Ronin's Grips Analytics Blog,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Dependency — commercial mega-constellations as a resilience option and dependency risk in Australian SATCOM architecture,2026-07-18,Custodian validation pending
EV-RONINS20-18,ronins-2026,,TO_VERIFY,Low,"Blog claims not corroborated this session and needing verification against authoritative tracking data: China launched 43 military satellites in 2024; Russia's Cosmos 2542/2543 shadowed a US KH-11 satellite; the US Counter Communications System Block 10.2 provides reversible denial of adversary SATCOM; specific military satellite fleet counts (US ~247+, China ~157+, Russia ~110).",,,,,Global Space Power Dynamics in 2026,Ronin's Grips Analytics Blog,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Partner capability / constraint — quantitative counterspace and fleet claims requiring corroboration from CSIS/SWF threat assessments or official sources,2026-07-18,Custodian validation pending
EV-RONINS20-19,ronins-2026,,ASSESSMENT,Medium,"Taken together, the corroborated evidence (founding CSpO membership, hosting of US SDA sensors at Exmouth, cancellation of sovereign GEO SATCOM in favour of multi-orbit architectures) indicates Australia has chosen deep integration with US-led allied space architectures over autonomous large-satellite programs, implying a partnership framework should weight interoperability, ground-segment geography and commercial augmentation as Australia's primary bargaining assets.",,,,,"Synthesis of sources accessed this session (SpaceNews JP9102, CSpO releases, Australian Defence Ministers, ASPI)",Analyst synthesis,2026-07,https://spacenews.com/australia-abandons-7-billion-geostationary-satellite-program-to-explore-multi-orbit-options/,Australian value proposition / dependency — core analytical judgement for the partnership framework,2026-07-18,Custodian validation pending
EV-STRATEGI-01,strategic-art,,FACT,High,"ASFF stands for the Australian Strategy Formulation Framework, as stated on the cover and title page of 'On Strategic Art - A Guide to Strategic Thinking & The Australian Strategy Formulation Framework' and throughout Chapter 5.",CONFIRMED,,,,"On Strategic Art - A Guide to Strategic Thinking & The Australian Strategy Formulation Framework (Edition 1, Electronic Version 1-1)","Australian War College / Australian Defence College, Department of Defence",2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - authoritative naming of the strategy-formulation method the partnership framework can adopt,2026-07-18,Custodian validation pending
EV-STRATEGI-02,strategic-art,,FACT,High,"The handbook was published by the Australian Department of Defence, Canberra, in 2024; authored by Colonel Nick Bosio CSC PhD (2023-2024 Strategic Art Program Convenor) for the Defence and Strategic Studies Centre, Australian War College; with a foreword by Air Commodore Ruth Elsley CSC, Commandant Australian War College; and is approved for public release.",CONFIRMED,,,,"On Strategic Art (copyright page, foreword, acknowledgements)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian input - provenance and citation authority of the doctrine-adjacent source,2026-07-18,Custodian validation pending
EV-STRATEGI-03,strategic-art,,FACT,High,"The handbook's disclaimer states the views expressed are the author's own and do not necessarily reflect the views or policies of the Australian Government or the Department of Defence; it is an educational handbook complementing the Australian War College Strategic Art Program, not formal ADF doctrine.",CONFIRMED,,,,On Strategic Art (copyright page disclaimer; acknowledgements),Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,"Constraint - limits on the evidentiary weight of the source; frames method, not Government policy commitment",2026-07-18,Custodian validation pending
EV-STRATEGI-04,strategic-art,,FACT,High,"The foreword states that, as Australia's National Defence Strategy highlights, Australia's strategic environment is the most challenging since the Second World War, and that Government has directed Defence to focus its efforts on a Strategy of Denial requiring investment in hard capabilities and intellectual capital.",CONFIRMED,,,,"On Strategic Art (Foreword, p. 2)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian value proposition - anchors partnership strategy to declared national strategic guidance (Strategy of Denial),2026-07-18,Custodian validation pending
EV-STRATEGI-05,strategic-art,,FACT,High,"The ASFF consists of six iterative, non-linear steps: (1) Understanding Current Context, (2) Assess Future Context, (3) Determine Challenges, (4) Capacity, Risk, and Ethical Considerations, (5) Develop Approach Options, (6) Challenge the Approach; Steps 1-2 frame the environment, Steps 3-4 frame the problems, Steps 5-6 develop and test the strategic approach.",CONFIRMED,,,,"On Strategic Art (Chapter 5, sections 5.1-5.1.1, pp. 63-65; Figure 5.1)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - the six-step architecture the space partnership analysis framework can mirror,2026-07-18,Custodian validation pending
EV-STRATEGI-06,strategic-art,,FACT,High,"The handbook defines strategy as 'The intellectual framework guiding how a political community develops and applies diverse forms of power in order to achieve its political ends', synthesised from Brands, Gray, Freedman, Heuser, Murray and Milevski.",CONFIRMED,,,,"On Strategic Art (section 3.1.2, p. 28)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian input - canonical definition for framing the partnership strategy document,2026-07-18,Custodian validation pending
EV-STRATEGI-07,strategic-art,,FACT,High,"The handbook defines strategic art as 'The capacity and ability to frame problems within an unbounded environment (not bound by geography, time, and/or current policy), thereby bounding the problem space for operational thinking', and identifies five themes of strategic art including 'National Power is More Than its Tools (Orchestration)' and 'Managing National Action (Synchronisation)'.",,,,,"On Strategic Art (section 3.2.2, p. 32; Key Take Away box 'The Themes of Strategic Art')",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - problem-framing discipline for scoping the space partnership problem space,2026-07-18,Custodian validation pending
EV-STRATEGI-08,strategic-art,,FACT,High,"The handbook adopts the ADF doctrinal definition of national power - 'The total capability of a country to achieve its national objectives, devoid of external constraints and without being subject to coercion' - and the DIME construct (Diplomatic, Information, Military, Economic instruments) from ADF capstone doctrine ADF-C-0 Australian Military Power, while noting DIME is useful at tactical/operational level but can stifle analysis at the national-strategic level.",,,,,"On Strategic Art (sections 3.4.2, pp. 39-40; scope table p. 10 citing ADF-C-0 pp. 13-19)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,"Instrument - doctrine language for classifying partnership instruments (diplomatic, information, military, economic)",2026-07-18,Custodian validation pending
EV-STRATEGI-09,strategic-art,,FACT,High,"The handbook presents the 'Foundations of National Power' (developed by Associate Professor Andrew Phillips, University of Queensland) as three mutually reinforcing concepts - Political Control (state-building), Ideological Cohesion (nation-building), and Leverage Economic Potential (economy-building) - forming a reinforcing loop where weakening one aspect can cascade through national power.",,,,,"On Strategic Art (sections 3.5-3.5.2, pp. 40-43; acknowledgements p. 3)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian value proposition - space industrial base and sovereign capability arguments map to economy-building and political control foundations,2026-07-18,Custodian validation pending
EV-STRATEGI-10,strategic-art,,FACT,High,"The handbook traces the ends-ways-means concept to Arthur Lykke (1989), notes it appears in almost all approaches to strategy, and distinguishes three approaches - strategy as process, strategy as problem-solving, and strategy as framework - grounding the ASFF in 'strategy as a framework' (a theory-of-success hypothesis that bounds and guides departmental and agency planning); ADF-P-5 Planning pp. 39-40 is cited for the broad ends-ways-means planning concept.",,,,,"On Strategic Art (section 3.3, pp. 33-38; scope table p. 10)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,"Instrument - ends/ways/means and strategy-as-framework logic for structuring partnership objectives, mechanisms and resources",2026-07-18,Custodian validation pending
EV-STRATEGI-11,strategic-art,,FACT,High,"The handbook defines a theory of success as 'A theory (idea) on how and why (causal logic) a given set of actions will cause the desired outcome in the environment, or within a specific crisis or conflict', complemented by a theory of challenge (causal logic of root causes, proximate causes and negative effects) and a theory of failure (causal logic of intended and unintended consequences, described as 'a structured approach for performing a pre-mortem' used to test a strategy).",,,,,"On Strategic Art (sections 4.2.3-4.2.5, pp. 50-54)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - causal hypothesis and pre-mortem discipline for testing why a space partnership will deliver claimed outcomes,2026-07-18,Custodian validation pending
EV-STRATEGI-12,strategic-art,,FACT,High,"ASFF Step 4 defines strategic risk as caused by national and geopolitical trends that may affect Government decisions on capability, policy and strategy and that 'limit a nation's sovereign decision-making and freedom of action'; the resulting policy, capability and national preparedness issues are termed strategic implications, with significant ones affecting the foundations of national power.",,,,,"On Strategic Art (section 7.2, p. 79)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Constraint - authoritative strategic-risk and sovereignty language for assessing space dependencies on partners,2026-07-18,Custodian validation pending
EV-STRATEGI-13,strategic-art,,FACT,High,"ASFF Step 4 explicitly requires analysis of 'the need for partners and allies, and how integrated such coalitions should be', asking how much of the strategy can or should be done alone, what challenges require partner support, and how integrated the coalition should be; its key outcomes include defining 'what can be achieved as a nation, and what requires partner or allied assistance' and the nation's risk threshold for independent action.",,,,,"On Strategic Art (sections 7.2-7.2.2, pp. 79-82; Step 4 Key Outcomes box)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Alliance leverage / dependency - doctrine-consistent questions for the partner-reliance dimension of the space framework,2026-07-18,Custodian validation pending
EV-STRATEGI-14,strategic-art,,FACT,High,"The handbook advises that within coalitions, full integration under a single system can limit complementary overlaps between nations with different political and governmental systems, that 'recognising how integrated the strategy must be across partners is as important as across the nation', and that balancing integration with independent flexibility must occur throughout strategy development and execution.",,,,,"On Strategic Art (Additional Information box 'Balancing Integration with Common Alignment', p. 83)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Alliance leverage - integration-versus-sovereign-flexibility trade-off language for space partnership design,2026-07-18,Custodian validation pending
EV-STRATEGI-15,strategic-art,,FACT,High,"ASFF Step 6 (Challenge the Approach) embeds an assumptions discipline: 'Each remaining assumption is a form of risk... All policy and strategy require assumptions'; the step requires identifying biases and implicit assumptions, developing theories of failure, testing via professional consultation and strategic wargaming (tabletop/matrix/seminar games), mitigating or accepting risk, and producing a recommended strategic option for Government with supporting evidence.",,,,,"On Strategic Art (section 8.3, pp. 91-94)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - strategy-testing and assumptions-audit method for red-teaming the partnership framework before submission,2026-07-18,Custodian validation pending
EV-STRATEGI-16,strategic-art,,FACT,High,"The handbook distinguishes strategy au milieu (enduring, framework-based strategy to shape the international environment, including 'building the infrastructure of international cooperation... and establishing partnerships, allies, and client states that reinforce stability') from positional strategy (time-bound strategy to counter, undercut, contain and limit a specific challenger, threat or crisis), and notes the two can be nested.",,,,,"On Strategic Art (sections 4.3-4.3.3, pp. 54-56)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian value proposition - a defence space partnership is naturally framed as strategy au milieu (enduring environmental shaping via partnerships),2026-07-18,Custodian validation pending
EV-STRATEGI-17,strategic-art,,FACT,High,"The handbook frames geo-strategic context as where a nation must act (national), should act (regional), or may act (global), stating a nation like Australia may have a national context extending to its Economic Zone, a regional context 'as large as the Indo-Pacific because of security and economic ties', and a global context due to trade, alliance and economic interests; section 4.4.2 states that for non-physical domains such as space and cyber, the location of the effect/outcome typically matters more than the originator when determining the requirement to act.",,,,,"On Strategic Art (sections 4.4-4.4.2, pp. 56-58)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Forum / partner interest - doctrine framing that places the space domain inside Australia's must/should/may-act calculus,2026-07-18,Custodian validation pending
EV-STRATEGI-18,strategic-art,,FACT,High,"The UK Royal College of Defence Studies' 'Making Strategy Better' (RCDS, ed. Phil Lester, 2022) and the UK strategy formulation framework were the early inspiration for the ASFF, per the acknowledgements and Chapter 5 footnote 3.",,,,,"On Strategic Art (Acknowledgements p. 3; Chapter 5 footnote 3, p. 68)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Partner interest / forum - methodological interoperability with UK (AUKUS-relevant) strategy formulation practice,2026-07-18,Custodian validation pending
EV-STRATEGI-19,strategic-art,,FACT,High,"The handbook defines strategic empathy as the capacity to put oneself 'into the minds of others... essential to understanding the interests of, the motivations of, and the constraints on adversaries' (citing Abbe, Parameters, 2023), requiring inductive analysis and willingness to see the world from another group's historical and cultural identity.",,,,,"On Strategic Art (Chapter 5 introduction, p. 62)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,"Partner interest - method for evidencing partner interests, motivations and constraints in the framework",2026-07-18,Custodian validation pending
EV-STRATEGI-20,strategic-art,,ASSESSMENT,High,"The ASFF's structure transfers directly to a Defence space partnership analysis framework: Steps 1-2 map to the space environment and partner scan, Steps 3-4 to challenge, dependency, capacity and risk-appetite analysis (including what requires partner assistance), and Steps 5-6 to partnership option design (Ends-Ways-Means-Risk matrix, schemes of action) and adversarial testing via theories of failure before recommendation to Government.",,,,,"On Strategic Art (Chapters 5-8, analysed this session)",Australian War College / Department of Defence (analysis by this research task),2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Instrument - analytical judgement mapping ASFF steps onto the partnership framework architecture,2026-07-18,Custodian validation pending
EV-STRATEGI-21,strategic-art,,ASSESSMENT,Medium,"The handbook's coalition and risk language supplies doctrine-consistent vocabulary for space partnership trade-offs: partner-delivered capability is a strategic risk to 'sovereign decision-making and freedom of action' when it constrains choices, and the integration-versus-flexibility balance frames choices such as hosted payloads or shared constellations versus sovereign-controlled systems.",,,,,"On Strategic Art (sections 7.2 and 8.1-8.3, analysed this session)",Australian War College / Department of Defence (analysis by this research task),2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Dependency / constraint - applying handbook risk language to space-specific dependency assessment,2026-07-18,Custodian validation pending
EV-STRATEGI-22,strategic-art,,TO_VERIFY,Medium,"The National Defence Strategy referenced in the handbook's foreword (Strategy of Denial direction) is presumed to be the 2024 National Defence Strategy, but the handbook does not state the year; the NDS document itself was not accessed this session.",,,,,"On Strategic Art (Foreword, p. 2)",Australian War College / Department of Defence,2024,https://theforge.defence.gov.au/sites/default/files/2024-11/On%20Strategic%20Art%20-%20A%20Guide%20to%20Strategic%20Thinking%20and%20the%20ASFF%20%28Electronic%20Version%201-1%29.pdf,Australian input - needs confirmation against the National Defence Strategy 2024 before citing NDS language in the framework,2026-07-18,Custodian validation pending
