opportunity_id,partner_id,criterion,weight,score_0to5_or_Unknown,rationale
OPP-03,P-AUKUS,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared and validated trilateral commitment via MoU (EV-AUINPUTS-13)
OPP-03,P-AUKUS,value_proposition,15,5,5/5 x w15 = 15.0 - unique first-site geography acknowledged by partner strategy naming (EV-USSFCSPO-04)
OPP-03,P-AUKUS,instrument_forum,10,5,"5/5 x w10 = 10.0 - direct active instrument: DARC MoU, reported 22-year duration (EV-AUINPUTS-13)"
OPP-03,P-AUKUS,security_releasability,5,4,4/5 x w5 = 4.0 - exchange arrangements operating within the trilateral program (EV-USSFCSPO-14)
OPP-03,P-AUKUS,technical_interop,5,4,4/5 x w5 = 4.0 - compatible standards; single developer across sites (EV-USSFCSPO-14)
OPP-03,P-AUKUS,policy_compatibility,5,5,5/5 x w5 = 5.0 - presented as AUKUS Pillar 2 delivery - reinforces policy (EV-AUINPUTS-13)
OPP-03,P-AUKUS,time_resources,5,4,4/5 x w5 = 4.0 - construction complete; supportable within current program (EV-USSFCSPO-14)
OPP-03,P-AUKUS,sovereignty,5,3,3/5 x w5 = 3.0 - manageable dependency; sovereignty balance with JP9360 needs active management (EV-AUINPUTS-14)
OPP-04,P-JP,priority_alignment,20,4,"4/5 x w20 = 16.0 - directly addresses JP9360 cooperation need at low tier (EV-AUINPUTS-12, EV-JAPANAU-22)"
OPP-04,P-JP,capability_maturity,15,4,4/5 x w15 = 12.0 - operational SDA organisation and monitoring system since 2023 (EV-JAPANAU-06)
OPP-04,P-JP,mutual_benefit,15,4,"4/5 x w15 = 12.0 - declared/validated interest in this cooperation form with clear two-way value: 12th 2+2 space mandate reiterated 5 September 2025 and reciprocal operations-command liaison exchanges welcomed, commencing with the Australian dispatch to JJOC (EV-JAPANSDA-01, EV-JAPANSDA-02); the Japanese reciprocal leg is not yet evidenced as commenced, so the 5-anchor ('demonstrated reciprocal co"
OPP-04,P-JP,value_proposition,15,3,3/5 x w15 = 9.0 - credible contribution: southern-hemisphere perspective and CSpO operational experience (EV-JAPANAU-21)
OPP-04,P-JP,instrument_forum,10,4,"4/5 x w10 = 8.0 - suitable forums active: 2+2, CSpO, symposium track (EV-JAPANAU-14, EV-JAPANAU-16)"
OPP-04,P-JP,security_releasability,5,3,"3/5 x w5 = 3.0 - partial release possible: ISA in place, scope limited to shareable tiers (EV-JAPANAU-17)"
OPP-04,P-JP,technical_interop,5,3,3/5 x w5 = 3.0 - exchange-level activity needs no system integration (EV-JAPANAU-14)
OPP-04,P-JP,policy_compatibility,5,5,"5/5 x w5 = 5.0 - actively reinforces RAA/JDSC trajectory (EV-JAPANAU-01, EV-JAPANAU-13)"
OPP-04,P-JP,time_resources,5,4,"4/5 x w5 = 4.0 - low resource demand, supportable now (EV-JAPANAU-14)"
OPP-04,P-JP,sovereignty,5,4,4/5 x w5 = 4.0 - no dependency created by reciprocal exchanges (EV-JAPANAU-22)
OPP-05,P-JP,priority_alignment,20,4,4/5 x w20 = 16.0 - directly addresses the resilient-PNT priority (EV-AUINPUTS-15)
OPP-05,P-JP,capability_maturity,15,4,4/5 x w15 = 12.0 - QZSS operational with regional ground segment including Canberra (EV-JAPANAU-04)
OPP-05,P-JP,mutual_benefit,15,3,3/5 x w15 = 9.0 - declared interest in the general area: 2020 EWS trial ran with Australian agencies (EV-JAPANAU-05)
OPP-05,P-JP,value_proposition,15,4,"4/5 x w15 = 12.0 - evidenced hosting contribution: monitoring station and trial participation (EV-JAPANAU-04, EV-JAPANAU-05)"
OPP-05,P-JP,instrument_forum,10,3,3/5 x w10 = 6.0 - civil arrangements exist but defence scope unclear (EV-JAPANAU-05)
OPP-05,P-JP,security_releasability,5,3,3/5 x w5 = 3.0 - partial exchange under civil arrangements; defence release untested (EV-JAPANAU-17)
OPP-05,P-JP,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; augmentation integration needs study (EV-JAPANAU-05)
OPP-05,P-JP,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent with strategy; coordination with civil agencies required (EV-JAPANAU-13)
OPP-05,P-JP,time_resources,5,3,3/5 x w5 = 3.0 - supportable with re-prioritisation by the new JPD (EV-AUINPUTS-15)
OPP-05,P-JP,sovereignty,5,3,3/5 x w5 = 3.0 - manageable: QZSS is foreign-owned but adds diversity to sole GPS reliance (EV-CONVERSA-08)
OPP-06,P-IN,priority_alignment,20,4,4/5 x w20 = 16.0 - directly addresses the geography value-proposition input (AUS-IN-24; EV-QUADINDI-22)
OPP-06,P-IN,capability_maturity,15,3,3/5 x w15 = 9.0 - ISRO civil capability demonstrated; defence-space cooperation immature - no defence-space program evidence (EV-QUADINDI-23)
OPP-06,P-IN,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared interest in this form: leaders welcomed Cocos terminal and deeper ISRO-ASA collaboration (EV-QUADINDI-08)
OPP-06,P-IN,value_proposition,15,5,"5/5 x w15 = 15.0 - unique, partner-acknowledged Indian Ocean contribution - Cocos TT&C, crew recovery (EV-QUADINDI-07, EV-QUADINDI-06)"
OPP-06,P-IN,instrument_forum,10,3,"3/5 x w10 = 6.0 - parent instruments exist (2026 Joint Declaration, ISRO-ASA IA) but defence-space scope unclear (EV-QUADINDI-09, EV-QUADINDI-06)"
OPP-06,P-IN,security_releasability,5,2,2/5 x w5 = 2.0 - limited exchange: no defence information-security arrangement evidenced for space data (EV-QUADINDI-09)
OPP-06,P-IN,technical_interop,5,3,3/5 x w5 = 3.0 - TT&C interoperability proven at Cocos; defence-grade interfaces unstudied (EV-PACIFIC-18)
OPP-06,P-IN,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent with the Joint Declaration trajectory; coordination required (EV-QUADINDI-09)
OPP-06,P-IN,time_resources,5,3,3/5 x w5 = 3.0 - supportable: Nova Systems delivery model proven at modest cost (EV-PACIFIC-18)
OPP-06,P-IN,sovereignty,5,4,4/5 x w5 = 4.0 - hosting on Australian territory retains control (EV-QUADINDI-07)
OPP-07,P-US,priority_alignment,20,5,"5/5 x w20 = 20.0 - directly addresses the high-urgency Force Design window input (EV-USSFCSPO-02, EV-USSFCSPO-20)"
OPP-07,P-US,capability_maturity,15,5,"5/5 x w15 = 15.0 - USSF Force Design process operating and documented (EV-USSFCSPO-02, EV-USSFCSPO-03)"
OPP-07,P-US,mutual_benefit,15,5,"5/5 x w15 = 15.0 - partner-validated intent plus reciprocal commitment: IPS invitation, ACSO/FCP role, June 2026 SoI (EV-USSFCSPO-03, EV-USSFCSPO-05, EV-USSFCSPO-17)"
OPP-07,P-US,value_proposition,15,4,"4/5 x w15 = 12.0 - evidenced distinctive contribution: DARC named equity, OOD/SST/C-band record (EV-USSFCSPO-04, EV-USSFCSPO-20)"
OPP-07,P-US,instrument_forum,10,5,"5/5 x w10 = 10.0 - direct, active instrument and forum: USSF-Australian Space Command Statement of Intent signed 3 June 2026 (VEH-US-25, EV-USSFFORC-12) atop the 2023 Enhanced Space Cooperation MoU (VEH-US-24) and the ACSO/FCP channel"
OPP-07,P-US,security_releasability,5,Unknown,"Unknown x w5 = excluded - Unknown - releasability of Force Design material to Australia unevidenced; excluded, weights renormalised over 95/100"
OPP-07,P-US,technical_interop,5,3,3/5 x w5 = 3.0 - taxonomy/requirements work is low-integration; trial needed for more (EV-USSFCSPO-03)
OPP-07,P-US,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces alliance objectives (EV-USSFCSPO-16)
OPP-07,P-US,time_resources,5,4,4/5 x w5 = 4.0 - live window 2025-26; supportable within current engagement (EV-USSFCSPO-20)
OPP-07,P-US,sovereignty,5,3,3/5 x w5 = 3.0 - deep integration is a deliberate dependency choice needing fallback framing (EV-RONINS20-19)
OPP-08,P-US,priority_alignment,20,3,"3/5 x w20 = 12.0 - addresses access-to-space input partially - launch omitted from NDS/IIP so Defence authority is weak (EV-AUINPUTS-19, EV-AUINPUTS-17)"
OPP-08,P-US,capability_maturity,15,5,"5/5 x w15 = 15.0 - US launch industry operational, mature and improving (EV-AUKUSLFE-17)"
OPP-08,P-US,mutual_benefit,15,3,"3/5 x w15 = 9.0 - declared general interest: TSA concluded; demand projections are TO_VERIFY (EV-AUKUSLFE-16, EV-AUKUSLFE-20)"
OPP-08,P-US,value_proposition,15,5,5/5 x w15 = 15.0 - unique geography for multi-orbit launch and return acknowledged in open analysis (EV-USSCSPAC-02)
OPP-08,P-US,instrument_forum,10,4,4/5 x w10 = 8.0 - suitable instrument in force: treaty-level TSA since 23 July 2024 (EV-AUKUSLFE-17)
OPP-08,P-US,security_releasability,5,1,"1/5 x w5 = 1.0 - new arrangements would be required for any technology exchange: MTCR SLV items excluded from AUKUS exemption; segregated areas exclude Australian personnel (EV-AUKUSLFE-05, EV-AUKUSLFE-18)"
OPP-08,P-US,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; range/licensing processes exist but untested with US vehicles (EV-AUKUSLFE-17)
OPP-08,P-US,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent with alliance settings (EV-AUKUSLFE-16)
OPP-08,P-US,time_resources,5,3,3/5 x w5 = 3.0 - supportable with re-prioritisation; no launch campaign contracted yet (EV-AUKUSLFE-20)
OPP-08,P-US,sovereignty,5,2,"2/5 x w5 = 2.0 - material constraint: US retains control of vehicles and tech on Australian soil; spillover limited (EV-AUKUSLFE-18, EV-AUKUSLFE-21)"
OPP-08,P-DE,priority_alignment,20,3,3/5 x w20 = 12.0 - addresses access-to-space input partially (EV-AUINPUTS-17)
OPP-08,P-DE,capability_maturity,15,2,"2/5 x w15 = 6.0 - in development: HyImpulse suborbital success; RFA yet to fly orbitally (EV-GERMANY-16, EV-GERMANY-17)"
OPP-08,P-DE,mutual_benefit,15,3,"3/5 x w15 = 9.0 - declared interest: signed launch agreements and DLR ReFEx manifest (EV-GERMANY-15, EV-GERMANY-18)"
OPP-08,P-DE,value_proposition,15,4,4/5 x w15 = 12.0 - evidenced distinctive contribution: SSO/polar geometry and permissive ranges (EV-GERMANY-15)
OPP-08,P-DE,instrument_forum,10,3,3/5 x w10 = 6.0 - commercial contracts exist; scope narrow (EV-GERMANY-15)
OPP-08,P-DE,security_releasability,5,2,"2/5 x w5 = 2.0 - limited exchange: DEC permits required both ways; Germany not on the reported foreign-country whitelist (EV-DECDSGL-21, EV-DECDSGL-18)"
OPP-08,P-DE,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility demonstrated at Koonibba (EV-GERMANY-17)
OPP-08,P-DE,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent; no policy friction evidenced (EV-GERMANY-13)
OPP-08,P-DE,time_resources,5,2,"2/5 x w5 = 2.0 - severe schedule risk: RFA concentrated at SaxaVord, Whalers Way dormant (EV-GERMANY-16)"
OPP-08,P-DE,sovereignty,5,3,3/5 x w5 = 3.0 - manageable; commercial hosting with Australian regulatory control (EV-GERMANY-17)
OPP-09,P-CSPO,priority_alignment,20,4,4/5 x w20 = 16.0 - directly addresses the IIP space-control priority (EV-AUINPUTS-08)
OPP-09,P-CSPO,capability_maturity,15,4,"4/5 x w15 = 12.0 - operational and corroborated: MNF-OOD declared IOC 8 April 2025 with a signed seven-nation campaign plan and executed Operation Selene in spring 2026 (EV-MULTILAT-02, EV-MULTILAT-19); the 5-anchor ('mature, resilient, improving') is not yet met - orbital-warfare CONOPS only expected complete end-2026 and releasability differentials persist (GL-17)"
OPP-09,P-CSPO,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared interest in this form: Principals committed to redouble MNF-OOD efforts (EV-USSFCSPO-09)
OPP-09,P-CSPO,value_proposition,15,3,3/5 x w15 = 9.0 - credible contribution: Op Dyurra integration and Exmouth sensor data (EV-USSFCSPO-10)
OPP-09,P-CSPO,instrument_forum,10,4,4/5 x w10 = 8.0 - suitable instrument and forum: CSpO with active Principals' Board (EV-USSFCSPO-09)
OPP-09,P-CSPO,security_releasability,5,3,3/5 x w5 = 3.0 - partial release under multinational conditions; ten-nation differentials (EV-JAPANAU-12)
OPP-09,P-CSPO,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; combined C2 interfaces not evidenced in detail (EV-USSFCSPO-09)
OPP-09,P-CSPO,policy_compatibility,5,5,"5/5 x w5 = 5.0 - actively reinforces CSpO Vision 2031 objectives (EV-USSFCSPO-06, EV-USSFCSPO-07)"
OPP-09,P-CSPO,time_resources,5,3,3/5 x w5 = 3.0 - supportable with re-prioritisation of a small workforce (EV-USSFCSPO-17)
OPP-09,P-CSPO,sovereignty,5,3,3/5 x w5 = 3.0 - manageable; multinational framework with national caveats (EV-USSFCSPO-10)
OPP-10,P-JP,priority_alignment,20,5,5/5 x w20 = 20.0 - directly addresses a high-urgency authoritative dependency - BoM critical reliance (EV-CONVERSA-02)
OPP-10,P-JP,capability_maturity,15,5,"5/5 x w15 = 15.0 - operational, mature, improving: Himawari with 2.5-minute imagery commitment (EV-CONVERSA-03)"
OPP-10,P-JP,mutual_benefit,15,5,5/5 x w15 = 15.0 - partner-validated reciprocity: strategic arrangement signed 11 Nov 2024 (EV-CONVERSA-03)
OPP-10,P-JP,value_proposition,15,4,4/5 x w15 = 12.0 - evidenced distinctive contribution: Australia's largest-ever met-satellite contribution via Himawari-10 (EV-CONVERSA-03)
OPP-10,P-JP,instrument_forum,10,5,"5/5 x w10 = 10.0 - direct active instrument with demonstrated throughput: BoM-JMA arrangement, ALOS node (EV-CONVERSA-03, EV-JAPANAU-20)"
OPP-10,P-JP,security_releasability,5,4,4/5 x w5 = 4.0 - civil data exchange operating for years (EV-JAPANAU-20)
OPP-10,P-JP,technical_interop,5,4,4/5 x w5 = 4.0 - compatible; 30+ satellite data streams already ingested (EV-CONVERSA-04)
OPP-10,P-JP,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces the bilateral trajectory (EV-JAPANAU-13)
OPP-10,P-JP,time_resources,5,3,"3/5 x w5 = 3.0 - funded via the arrangement but Himawari-10 development is delayed and the ALOS-4 access channel is unresolved (EV-EOCONTIN-14, EV-EOCONTIN-15, EV-EOCONTIN-21)"
OPP-10,P-JP,sovereignty,5,3,3/5 x w5 = 3.0 - manageable dependency but no sovereign fallback before early 2030s (EV-CONVERSA-20)
OPP-10,P-US,priority_alignment,20,4,4/5 x w20 = 16.0 - directly addresses EO continuity input (EV-CONVERSA-11)
OPP-10,P-US,capability_maturity,15,2,"2/5 x w15 = 6.0 - in development with significant constraints: the FY2026 US budget request funds no Landsat Next as designed, and restructured requirements disseminated 15 August 2025 descope the mission to a single satellite (EV-EOCONTIN-08, EV-EOCONTIN-09 TO_VERIFY)"
OPP-10,P-US,mutual_benefit,15,4,4/5 x w15 = 12.0 - validated interest: Australia holds core-partner status (EV-USSCSPAC-18)
OPP-10,P-US,value_proposition,15,4,"4/5 x w15 = 12.0 - evidenced distinctive contribution: A$448.7m, Alice Springs station, analytics (EV-USSCSPAC-18)"
OPP-10,P-US,instrument_forum,10,4,4/5 x w10 = 8.0 - partnership commitment and budget line exist (EV-CONVERSA-18)
OPP-10,P-US,security_releasability,5,4,4/5 x w5 = 4.0 - open civil data policy; exchange unproblematic (EV-CONVERSA-18)
OPP-10,P-US,technical_interop,5,4,4/5 x w5 = 4.0 - compatible: 35+ years of Landsat ingestion heritage (EV-CONVERSA-18)
OPP-10,P-US,policy_compatibility,5,5,5/5 x w5 = 5.0 - reinforces alliance and open-data policy (EV-USSCSPAC-18)
OPP-10,P-US,time_resources,5,2,2/5 x w5 = 2.0 - US budget debates put the schedule at risk (EV-USSCSPAC-19)
OPP-10,P-US,sovereignty,5,3,3/5 x w5 = 3.0 - dependency on US program decisions; ground-segment stake is partial mitigation (EV-USSCSPAC-19)
OPP-10,P-QUAD,priority_alignment,20,3,"3/5 x w20 = 12.0 - addresses EO continuity indirectly - gateway links, not data hosting (EV-QUADINDI-02 corrected)"
OPP-10,P-QUAD,capability_maturity,15,3,3/5 x w15 = 9.0 - demonstrated but partial: workshops and portal delivered; scale limited (EV-QUADINDI-03)
OPP-10,P-QUAD,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared interest in this form at leaders' level 2024 (EV-QUADINDI-05)
OPP-10,P-QUAD,value_proposition,15,3,3/5 x w15 = 9.0 - credible contribution: Australian EO resources and delivery capacity (EV-QUADINDI-05)
OPP-10,P-QUAD,instrument_forum,10,3,3/5 x w10 = 6.0 - working-group route exists; scope civil and non-binding (EV-QUADINDI-01)
OPP-10,P-QUAD,security_releasability,5,3,3/5 x w5 = 3.0 - civil unclassified sharing only (EV-QUADINDI-23)
OPP-10,P-QUAD,technical_interop,5,3,3/5 x w5 = 3.0 - gateway model needs no deep integration (EV-QUADINDI-02)
OPP-10,P-QUAD,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent with regional policy settings (EV-QUADINDI-05)
OPP-10,P-QUAD,time_resources,5,3,3/5 x w5 = 3.0 - supportable within existing programs (EV-QUADINDI-03)
OPP-10,P-QUAD,sovereignty,5,4,4/5 x w5 = 4.0 - enhances diversity of channels; no new dependency (EV-QUADINDI-02)
OPP-11,P-PIF,priority_alignment,20,3,3/5 x w20 = 12.0 - addresses the Pacific assistance priority partially - civil connectivity first (EV-PACIFIC-21)
OPP-11,P-PIF,capability_maturity,15,2,"2/5 x w15 = 6.0 - PIF is a framework owner, not a capability owner; delivery depends on operators (EV-PACIFIC-06)"
OPP-11,P-PIF,mutual_benefit,15,4,"4/5 x w15 = 12.0 - declared regional interest: Boe cybersecurity element, 2050 connectivity ambition, ICT ministerial mechanisms (EV-PACIFIC-02, EV-PACIFIC-05)"
OPP-11,P-PIF,value_proposition,15,4,"4/5 x w15 = 12.0 - evidenced Australian contribution: CCRC, South Pacific Connect co-funding, LEO research (EV-PACIFIC-07)"
OPP-11,P-PIF,instrument_forum,10,3,"3/5 x w10 = 6.0 - parent frameworks exist but no space-specific mechanism (EV-PACIFIC-03, EV-PACIFIC-05)"
OPP-11,P-PIF,security_releasability,5,3,3/5 x w5 = 3.0 - civil unclassified cooperation (EV-PACIFIC-04)
OPP-11,P-PIF,technical_interop,5,Unknown,"Unknown x w5 = excluded - Unknown - LEO service integration parameters unassessed; excluded, weights renormalised over 95/100 (EV-PACIFIC-06)"
OPP-11,P-PIF,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces Pacific-defined priorities framing (EV-PACIFIC-21)
OPP-11,P-PIF,time_resources,5,3,3/5 x w5 = 3.0 - supportable via existing funding channels (EV-PACIFIC-07)
OPP-11,P-PIF,sovereignty,5,4,4/5 x w5 = 4.0 - acceptable; strengthens regional resilience against single-cable dependency (EV-PACIFIC-06)
OPP-12,P-IN,priority_alignment,20,3,3/5 x w20 = 12.0 - addresses the civil debris/SSA priority area partially (EV-AUINPUTS-17)
OPP-12,P-IN,capability_maturity,15,4,4/5 x w15 = 12.0 - ISRO/NSIL launch services operational and corroborated (EV-QUADINDI-12)
OPP-12,P-IN,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared interest in this form: first dedicated AU-India launch agreement with A$8.5m government funding (EV-QUADINDI-12)
OPP-12,P-IN,value_proposition,15,4,4/5 x w15 = 12.0 - evidenced distinctive contribution: largest Australian-built spacecraft to date (EV-QUADINDI-12)
OPP-12,P-IN,instrument_forum,10,3,"3/5 x w10 = 6.0 - commercial contract plus ISRO-ASA umbrella; follow-on scope unclear (EV-QUADINDI-12, EV-QUADINDI-06)"
OPP-12,P-IN,security_releasability,5,2,2/5 x w5 = 2.0 - limited exchange: DEC permits required - India outside licence-free environment (EV-DECDSGL-21)
OPP-12,P-IN,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; first mission not yet flown (EV-QUADINDI-12)
OPP-12,P-IN,policy_compatibility,5,4,4/5 x w5 = 4.0 - consistent with the 2026 leader-level trajectory (EV-QUADINDI-08)
OPP-12,P-IN,time_resources,5,3,3/5 x w5 = 3.0 - supportable; modest scale (EV-QUADINDI-12)
OPP-12,P-IN,sovereignty,5,4,"4/5 x w5 = 4.0 - acceptable; commercial, revocable (EV-QUADINDI-12)"
OPP-13,P-AE,priority_alignment,20,2,2/5 x w20 = 8.0 - addresses low-urgency partner-diversification input indirectly (EV-UAE-22)
OPP-13,P-AE,capability_maturity,15,4,"4/5 x w15 = 12.0 - operational, corroborated capability: MBZ-SAT, Hope, Gateway airlock role (EV-UAE-07, EV-UAE-08, EV-UAE-10)"
