opportunity_id,title,pattern,partner_id,weighted_score,band,evidence_confidence,pathway_overall,binding_gap,treatment,treatment_rationale,delivery_model,second_best,exit_condition,cost_note,validation_triage,interdependencies,complementarity_ids,evidence_ids
OPP-08,US commercial launch from Australian spaceports under the TSA,commercial,P-DE,59,C,Medium,AMBER,technical (AMBER): orbital vehicle (RFA ONE) unflown (EV-GERMANY-16); resource (AMBER): partner priorities shifted to SaxaVord (EV-GERMANY-16),Explore,C-band value with Amber schedule/technical risk; keep ranges available and re-test once RFA ONE has flown - no Australian resource commitment warranted yet.,commercial,"Sovereign pathway via Gilmour Eris maturation (maiden test flight 30 July 2025, EV-AUINPUTS-18).",,,,,C-12; C-13,EV-AUKUSLFE-16; EV-AUKUSLFE-17; EV-AUKUSLFE-18; EV-AUKUSLFE-19; EV-AUKUSLFE-21; EV-GERMANY-17
OPP-09,Space-control contribution through MNF Operation Olympic Defender,operational,P-CSPO,74,B,High,AMBER,authority (AMBER): national approval levels for expanded contribution undefined (EV-USSFCSPO-10); security (AMBER): releasability varies across ten partners; Japan in CSpO but not OOD (EV-JAPANAU-12); technical (AMBER): combined mission system interfaces unevidenced (EV-USSFCSPO-09); resource (AMBER): workforce small; first dedicated graduates June 2026 (EV-USSFCSPO-17),Build pathway,B-band value in the standing multilateral vehicle; expansion needs the release-differential and workforce gaps levered before the Oslo meeting.,multilateral,Bilateral US channel via ESC MOU if multilateral tempo slows (EV-USSFCSPO-15).,"Exit/switch: scale contribution to the bilateral US channel (ESC MOU, second_best) if the release-differential and workforce gaps (GL-17/GL-18) are not levered by the December 2026 Oslo Principals' meeting.",,,,C-15,EV-USSFCSPO-09; EV-USSFCSPO-10; EV-AUINPUTS-08; EV-JAPANAU-11; EV-JAPANAU-12; EV-MULTILAT-01; EV-MULTILAT-02; EV-MULTILAT-06; EV-MULTILAT-19; EV-MULTILAT-20
OPP-10,"Earth observation continuity portfolio (Japan, US, Quad)",data,P-JP,91,A,High,AMBER,"sovereignty (AMBER): no sovereign fallback; continuity rests on Japanese policy decisions (EV-CONVERSA-20); resource (AMBER): Himawari-10 development delayed and ALOS-4 access channel unresolved (EV-EOCONTIN-14, EV-EOCONTIN-15; GL-34)",Act now,"A-band, in execution; sustain delivery while the sovereignty gap (fallback definition) is worked as a gap action, not a brake.",hybrid,Multilateral weighting (Quad/EUMETSAT-style channels) if a bilateral leg weakens (EV-QUADINDI-05).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).",EV-EOCONTIN-14 revised Himawari-10 schedule (GL-34); EV-EOCONTIN-15 ALOS-4 access channel (TO_VERIFY/Low),OPP-20:hedged-by: commercial tasking (Maxar DAP line) is the designed crisis fallback for civil EO continuity (SCN-02) - counts as mitigation only once crisis-priority clauses are contracted,C-07; C-08; C-21,EV-CONVERSA-03; EV-USSCSPAC-18; EV-QUADINDI-02; EV-CONVERSA-20; EV-USSCSPAC-19; EV-EOCONTIN-02; EV-EOCONTIN-03; EV-EOCONTIN-04; EV-EOCONTIN-05; EV-EOCONTIN-08; EV-EOCONTIN-09; EV-EOCONTIN-10; EV-EOCONTIN-11; EV-EOCONTIN-12; EV-EOCONTIN-13; EV-EOCONTIN-15; EV-EOCONTIN-21; EV-JAPANSDA-15
OPP-10,"Earth observation continuity portfolio (Japan, US, Quad)",data,P-US,72,B,Medium,RED,"resource (RED): US FY2026 President's Budget request (2 May 2025) proposes no funding for Landsat Next as designed - restructure unresolved and no Australian public response evidenced (EV-EOCONTIN-08, EV-EOCONTIN-10); sovereignty (AMBER): no sovereign EO mission behind the partnership; Australia's A$207.4m/4yr + A$38.2m/yr commitment now attaches to a restructured program (EV-EOCONTIN-02, EV-EOCONTIN-04)",Build pathway,"B-band value with a resource RED: the US restructure blocks mature delivery planning until partnership terms are re-baselined; Australian ground-segment delivery (Alice Springs upgrade) continues as pathway work, with contingency weight shifted to Japan/Copernicus/commercial legs.",hybrid,Multilateral weighting (Quad/EUMETSAT-style channels) if a bilateral leg weakens (EV-QUADINDI-05).,Shift contingency weight to the Japan/Copernicus/commercial legs and pause new Landsat-specific commitments if partnership terms are not re-baselined at the first AUSMIN after the enacted FY2026 appropriations outcome is validated (GL-33).,,,OPP-20:hedged-by: commercial tasking (Maxar DAP line) is the designed crisis fallback for civil EO continuity (SCN-02) - counts as mitigation only once crisis-priority clauses are contracted,C-07; C-08; C-21,EV-CONVERSA-03; EV-USSCSPAC-18; EV-QUADINDI-02; EV-CONVERSA-20; EV-USSCSPAC-19; EV-EOCONTIN-02; EV-EOCONTIN-03; EV-EOCONTIN-04; EV-EOCONTIN-05; EV-EOCONTIN-08; EV-EOCONTIN-09; EV-EOCONTIN-10; EV-EOCONTIN-11; EV-EOCONTIN-12; EV-EOCONTIN-13; EV-EOCONTIN-15; EV-EOCONTIN-21; EV-JAPANSDA-15
OPP-10,"Earth observation continuity portfolio (Japan, US, Quad)",data,P-QUAD,65,B,Medium,AMBER,instrument (AMBER): no binding instrument; leaders' fact-sheet commitments (EV-QUADINDI-05),Build pathway,"B-band floor (65) but civil, non-binding and summit-cycle dependent; useful diversity channel, not a continuity guarantee.",hybrid,Multilateral weighting (Quad/EUMETSAT-style channels) if a bilateral leg weakens (EV-QUADINDI-05).,Exit/switch: treat as a diversity channel only and drop from continuity planning if no funded data-hosting commitment emerges in the next Quad summit cycle (GL-21).,,,OPP-20:hedged-by: commercial tasking (Maxar DAP line) is the designed crisis fallback for civil EO continuity (SCN-02) - counts as mitigation only once crisis-priority clauses are contracted,C-07; C-08; C-21,EV-CONVERSA-03; EV-USSCSPAC-18; EV-QUADINDI-02; EV-CONVERSA-20; EV-USSCSPAC-19; EV-EOCONTIN-02; EV-EOCONTIN-03; EV-EOCONTIN-04; EV-EOCONTIN-05; EV-EOCONTIN-08; EV-EOCONTIN-09; EV-EOCONTIN-10; EV-EOCONTIN-11; EV-EOCONTIN-12; EV-EOCONTIN-13; EV-EOCONTIN-15; EV-EOCONTIN-21; EV-JAPANSDA-15
OPP-11,Pacific space-enabled connectivity and maritime domain awareness assistance,policy,P-PIF,63,C,Medium,AMBER,"instrument (AMBER): Boe/2050 are policy frameworks, not delivery instruments (EV-PACIFIC-01, EV-PACIFIC-04); owners (AMBER): no assigned regional owner for LEO governance (EV-PACIFIC-06); authority (AMBER): consensus-based regional decision-making (EV-PACIFIC-01); technical (UNKNOWN): LEO integration and gateway architecture unassessed (EV-PACIFIC-06); operational (AMBER): Pacific-defined needs must lead; demand mapping incomplete (EV-PACIFIC-21); resource (AMBER): Australian channels exist; regional cost-share undefined (EV-PACIFIC-07); sovereignty (AMBER): data-sovereignty concerns precedent (PNG-Starlink) (EV-PACIFIC-06); mechanism (AMBER): commercial service contract with sovereignty conditions not yet framed, but the community-gateway model (Nauru December 2024, Kosrae February 2025) and the CCRC LEO governance research launched at the 30th PITA conference provide the template (EV-PACIFICC-05, EV-PACIFICC-12)",Explore,C-band on raw scoring (63/100; renormalised sensitivity view 66) with a framework-level partner and Unknown technical basis; a scoping study through PIF mechanisms is the correct next step.,commercial,Bilateral assistance packages where regional consensus is slow (EV-PACIFIC-07).,,,,,C-18,EV-PACIFIC-01; EV-PACIFIC-04; EV-PACIFIC-06; EV-PACIFIC-07; EV-PACIFIC-21; EV-PACIFICC-05; EV-PACIFICC-06; EV-PACIFICC-10; EV-PACIFICC-12; EV-PACIFICC-19; EV-PACIFICC-20
OPP-12,Space MAITRI follow-on: debris and space-sustainability mission line with India,commercial,P-IN,70,B,Medium,AMBER,"forum (AMBER): no standing industry-mission forum; summit-cycle attention (EV-QUADINDI-08); security (AMBER): DEC permits needed for spacecraft technology to India (EV-DECDSGL-21, EV-DECDSGL-19); technical (AMBER): mission not yet flown (EV-QUADINDI-12); operational (AMBER): civil sustainability mission; Defence utility indirect (EV-AUINPUTS-17)",Build pathway,First mission funded and contracted; follow-on scoping is cheap and keeps the channel warm - the DEC permit path is the single gap to pre-clear.,commercial,Bilateral government mission framing under ISRO-ASA instruments (EV-QUADINDI-06).,Exit/switch: revert to government-mission framing under ISRO-ASA instruments (second_best) if the DEC permit strategy (GL-24) is not cleared before mission commitment.,,,,C-09,EV-QUADINDI-12; EV-QUADINDI-08; EV-DECDSGL-21; EV-INDIACOC-08; EV-INDIACOC-09; EV-INDIACOC-10; EV-INDIACOC-11; EV-INDIACOC-12; EV-INDIACOC-13
OPP-13,UAE space engagement via standards and data-sharing entry points,institutional,P-AE,53,C,Medium,RED,"instrument (RED): defence-space cooperation would require new instruments; 2019 MoU civil and expressly non-binding (EV-UAE-21, EV-UAE-02)",Hold,"C-band value with a RED instrument component: hold defence-space ambitions until an instrument pathway exists; the register-supported lever is the low-cost IEEE standards entry (EV-UAE-23), carried in the gap backlog.",multilateral,"Commercial engagement via CEPA channels (in force 1 October 2025, EV-UAE-19).",,,,,C-19,EV-UAE-14; EV-UAE-17; EV-UAE-21; EV-UAE-22; EV-UAE-23
OPP-14,SPA9102 narrowband UHF delivery: allied interoperability and industrial participation,technology,P-US,87,A,High,AMBER,authority (AMBER): SPA9102 reported to hold First Pass approval only; Second Pass required to contract (EV-MILSATCO-09),Act now,"A-band value on a live window closing within ~12 months (RFT announced 10 July 2026, EV-MILSATCO-07 FACT/High; AusTender close 19 August 2026 TO_VERIFY per EV-MILSATCO-09; responses ~November 2026); the authority Amber (Second Pass) is the binding gap, now registered and dated as GL-26. OPP-14 owns the RFT response; the wideband/multi-orbit architecture decision space is owned by OPP-01 (see inter",hybrid,Extend IS-22 options (to 2041) and lease allied narrowband capacity if the sovereign acquisition slips (EV-MILSATCO-14).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).",EV-MILSATCO-09 AusTender ATM ADSS/NOT/84124/1 (close date + First-Pass status) - verify before 1 Aug 2026 (GL-27); window independently anchored by EV-MILSATCO-07 (FACT/High); Second Pass approval pathway timing (GL-26),"OPP-01:constrains: single-UHF-GEO design decisions (ground segment, industry anchor, availability model) pre-commit parts of OPP-01's 'deliberate' wideband/multi-orbit architecture choice - record the architecture read-across at Second Pass",C-01,EV-MILSATCO-05; EV-MILSATCO-06; EV-MILSATCO-07; EV-MILSATCO-08; EV-MILSATCO-09; EV-MILSATCO-11; EV-MILSATCO-12; EV-MILSATCO-13; EV-MILSATCO-14; EV-MILSATCO-17; EV-MILSATCO-22
OPP-15,Layered resilient military PNT: M-code access and AUKUS quantum-clock line,technology,P-US,73,B,Medium,AMBER,"instrument (AMBER): multinational MGUE PA effective December 2020; Australian accession unconfirmed (EV-RESILIEN-09); authority (AMBER): JP9380 approval stage and M-code fielding decision path not evidenced (EV-RESILIEN-08); security (UNKNOWN): M-code release arrangements for Australia unevidenced in open sources (EV-RESILIEN-09); resource (AMBER): Joint PNT Directorate is a ~17-person team; JP9380 resourcing not evidenced beyond Phase 1 scoping (EV-RESILIEN-07, EV-RESILIEN-08); sovereignty (AMBER): GNSS-class dependency remains; SouthPAN itself relies on GPS input and excludes northern-Australia Safety-of-Life coverage (EV-RESILIEN-04)",Build pathway,B-band on raw scoring (73/100; renormalised sensitivity view 77) with the security Unknown and instrument Amber binding: accession/releasability must be confirmed before mature fielding proposals; trial-range contributions proceed as pathway work.,hybrid,"Commercial LEO-PNT demonstrations (OPP-16) as the diversity layer if allied M-code access stalls (EV-RESILIEN-18, EV-RESILIEN-19).","Exit/switch: shift weight to the commercial LEO-PNT layer (OPP-16, second_best) and the sovereign quantum line if MGUE PA accession remains unconfirmed at the next AUSMIN-cycle review.",,,OPP-16:hedged-by: commercial LEO-PNT demonstrations are the GPS-independent diversity layer if allied M-code access stalls (second_best),C-06,EV-RESILIEN-06; EV-RESILIEN-07; EV-RESILIEN-08; EV-RESILIEN-09; EV-RESILIEN-10; EV-RESILIEN-11; EV-RESILIEN-12; EV-RESILIEN-13; EV-RESILIEN-14; EV-RESILIEN-23; EV-AUKUSLFE-14; EV-DECDSGL-21
OPP-15,Layered resilient military PNT: M-code access and AUKUS quantum-clock line,technology,P-AUKUS,77,B,Medium,AMBER,"forum (AMBER): no named AUKUS Pillar 2 PNT workstream evidenced in open sources (EV-RESILIEN-13); authority (AMBER): transition-to-program decision path beyond seed contracts not evidenced (EV-RESILIEN-13); technical (AMBER): space qualification incomplete - comb flying, complete clock pending (EV-RESILIEN-14); operational (AMBER): no exercise or fielding pathway defined yet for quantum timing layers (EV-RESILIEN-12); resource (AMBER): A$2.7m seed contracts; no program of record (EV-RESILIEN-13)",Build pathway,B-band with forum/resource Ambers: the sovereign clock line needs a named AUKUS workstream and program funding before it can be traded as a contribution; demonstrator momentum (March 2026 launch) keeps the window warm.,hybrid,"Commercial LEO-PNT demonstrations (OPP-16) as the diversity layer if allied M-code access stalls (EV-RESILIEN-18, EV-RESILIEN-19).",Exit/switch: continue the quantum-clock line nationally without the AUKUS badge if no Pillar 2 PNT workstream is evidenced by the next AUKUS review point.,,,OPP-16:hedged-by: commercial LEO-PNT demonstrations are the GPS-independent diversity layer if allied M-code access stalls (second_best),C-06,EV-RESILIEN-06; EV-RESILIEN-07; EV-RESILIEN-08; EV-RESILIEN-09; EV-RESILIEN-10; EV-RESILIEN-11; EV-RESILIEN-12; EV-RESILIEN-13; EV-RESILIEN-14; EV-RESILIEN-23; EV-AUKUSLFE-14; EV-DECDSGL-21
