input_id,input_title,vehicle_id,vehicle_name,lever_type,why,next_action,timing
AUS-IN-17,Sustain allied SDA hosting while protecting sovereign SDA funding,VEH-US-19,Space Surveillance Telescope (SST) Relocation MoU,parent instrument,The Space Surveillance Telescope reached Final Operational Capability on 19 August 2025 with an Australian-industry mirror recoat - proof the hosting model returns sovereign industrial value.,"Lock post-FOC sustainment and Australian tasking shares under the SST relocation MoU (EV-SDAPROGR-10, EV-SDAPROGR-11).",2026
AUS-IN-17,Sustain allied SDA hosting while protecting sovereign SDA funding,VEH-US-18,C-Band Space Surveillance Radar Relocation MoU,parent instrument,The C-band radar - first Space Surveillance Network sensor in the Southern Hemisphere - completes the Exmouth triple that anchors Australia's value proposition.,"Verify the reported 2026 C-band upgrade within the expanded surveillance partnership (EV-SDAPROGR-13, TO_VERIFY) and record it as an Australian offset.",2026
AUS-IN-17,Sustain allied SDA hosting while protecting sovereign SDA funding,VEH-US-02,AUSMIN (Australia-United States Ministerial Consultations),forum agenda,AUSMIN is where hosting contributions can be explicitly counted as burden-sharing offsets in partnership negotiations.,"Present the hosting-offset ledger (SST FOC, C-band FOC, DARC Early Use) at the next AUSMIN as a supporting burden-sharing argument, not a standalone ask (last AUSMIN held 8 December 2025; ANZUS 75th anniversary September 2026 is a hook, not a scheduled meeting).",next AUSMIN (not yet scheduled as of 18 Jul 2026)
AUS-IN-15,Resilient PNT for the ADF in GNSS-degraded environments,VEH-JAPAN-38,QZSS cooperation and ground-segment hosting arrangements in Australia,annex or project arrangement,"QZSS ground-segment hosting in Australia is the evidenced regional-augmentation channel; QZS-6/QZS-7 also host US SDA payloads, coupling the PNT and SDA agendas.",Verify the QZSS hosting arrangements (vehicle TO_VERIFY) and scope expanded monitoring/augmentation infrastructure once QZS-7 launches (postponed pending the H3 F8 investigation; rescheduled per JAXA release of 8 July 2026 - EV-JAPANSDA-15).,post QZS-7 launch
AUS-IN-15,Resilient PNT for the ADF in GNSS-degraded environments,VEH-US-02,AUSMIN (Australia-United States Ministerial Consultations),forum agenda,"M-code access is the core allied military-PNT layer: the GPS III constellation completed 21 April 2026 and more than 100,000 M-code receivers are delivered, but Australia's MGUE Project Arrangement accession is unconfirmed.","Confirm or complete Australian accession to the December 2020 multinational MGUE Increment 1 Project Arrangement (Australia expressed intent in 2021 - EV-RESILIEN-09) at the next AUSMIN; if the ministerial slate is full, route via the USSF-Australian Space Command service-chief channel (VEH-US-25) i",next AUSMIN or VEH-US-25 service-chief channel (no 2026 AUSMIN scheduled as of 18 Jul 2026)
AUS-IN-15,Resilient PNT for the ADF in GNSS-degraded environments,VEH-UK-13,AUKUS licence-free defence trade environment (Defence Trade Controls Amendment Act 2024 / UK AUKUS Nations OGL / US ITAR-EAR exemptions),parent instrument,The AUKUS licence-free environment carries the sovereign quantum-PNT line (QuantX optical clocks were contracted in 2024 expressly as enabling AUKUS partners' PNT development).,Structure the TEMPO.Space clock demonstration (frequency comb launched 30 March 2026 - EV-RESILIEN-14) as an AUKUS-tradeable deliverable (EV-RESILIEN-13).,2026-27
AUS-IN-15,Resilient PNT for the ADF in GNSS-degraded environments,VEH-MULTILATERAL-31,The Technical Cooperation Program (TTCP),forum agenda,"TTCP is the standing five-nation S&T forum where assured-PNT research (JP9380, quantum clocks, NAVWAR test methods) can be burden-shared.","Table Joint PNT Directorate GPS-denial trial results from Talisman Sabre 2025 (EV-RESILIEN-06, EV-RESILIEN-07) into the TTCP programme.",2026
AUS-IN-10,Earth observation service continuity without a sovereign EO mission,VEH-US-02,AUSMIN (Australia-United States Ministerial Consultations),forum agenda,The Landsat Next core partnership was signed at AUSMIN (5 August 2024); AUSMIN is where the US restructure must be addressed.,"Seek clarified Landsat Next terms after the FY2026 US budget request funded no Landsat Next as designed and requirements were descoped to a single satellite (EV-EOCONTIN-08, EV-EOCONTIN-09) - no Australian public response is yet evidenced (EV-EOCONTIN-10). Raise at the next AUSMIN (last held 8 Decem",next AUSMIN (not yet scheduled as of 18 Jul 2026)
AUS-IN-10,Earth observation service continuity without a sovereign EO mission,VEH-JAPAN-36,JAXA-Australian Space Agency Memorandum of Cooperation on space cooperation for peaceful purposes,annex or project arrangement,"GA has historically been JAXA's Oceania data-distribution node for ALOS, but no ALOS-4 access arrangement is evidenced - a concrete diversification gap the MoC can close.","Negotiate an ALOS-4 access arrangement (ALOS-4 launched July 2024; distribution proceeding via Japanese commercial providers - EV-EOCONTIN-15, TO_VERIFY).",2026-27
AUS-IN-10,Earth observation service continuity without a sovereign EO mission,VEH-MULTILATERAL-08,Quad Space Working Group,forum agenda,"Quad EO commitments (satellite data portal, capacity-building) give a civil diversification channel that costs little and hedges bilateral legs.",Keep EO data-sharing on the Quad space working group agenda through the next summit cycle (EV-QUADINDI-05).,next Quad cycle
AUS-IN-10,Earth observation service continuity without a sovereign EO mission,VEH-INDIA-28,"India-Australia Inter-Governmental MoU for Cooperation in Civil Space Science, Technology and Education (2012), amended 2021",parent instrument,The 2012 ISRO-ASA MoU (amended 17 February 2021) expressly covers Earth observation - an under-used diversification instrument.,Scope an EO data-access line under the amended MoU alongside the Gaganyaan cooperation (EV-INDIACOC-05).,2026-27
AUS-IN-09,Assured weather-satellite services (Himawari dependency),VEH-JAPAN-09,Japan-Australia 2+2 Foreign and Defence Ministerial Consultations,policy dialogue,The 2+2 is the ministerial channel above the BoM-JMA Strategic Relationship Arrangement of 11 November 2024 that governs the Himawari dependency (the SRA itself is not yet a vehicle-register record - evidence shortfall).,"Elevate Himawari-10 continuity - development delayed per round-2 assessment (EV-EOCONTIN-14, EV-EOCONTIN-21) - to the next 2+2 agenda (12th held 5 September 2025).",next 2+2 cycle
AUS-IN-09,Assured weather-satellite services (Himawari dependency),VEH-JAPAN-36,JAXA-Australian Space Agency Memorandum of Cooperation on space cooperation for peaceful purposes,annex or project arrangement,The JAXA-ASA Memorandum of Cooperation is the standing civil-space instrument that can carry contingency imagery and data arrangements adjacent to the JMA line.,Scope a contingency-access annex covering interruption of JMA services at comparable cadence (success condition of this input; EV-CONVERSA-03).,2026-27
AUS-IN-09,Assured weather-satellite services (Himawari dependency),VEH-JAPAN-11,Australia-Japan Annual Leaders' Meetings,forum agenda,Annual Leaders' Meetings have carried the bilateral space agenda at head-of-government level and can lock in Himawari-10 co-investment visibility.,Reference the Himawari-10 co-investment - Australia's largest meteorological-satellite contribution to date (EV-EOCONTIN-13) - in the next leaders' statement.,next leaders' meeting
AUS-IN-04,Sovereign launch and reconstitution pathway,VEH-US-27,US-Australia Technology Safeguards Agreement (TSA),parent instrument,The Technology Safeguards Agreement provides the legal framework for US launches from Australian territory - the enabling instrument for any responsive-launch and reconstitution pathway (entered into force 23 July 2024 per EV-USSFFORC-15).,Broker a first US commercial launch campaign under TSA conditions with a parallel Defence position on responsive-launch access (EV-USSFFORC-15).,2026-28
AUS-IN-04,Sovereign launch and reconstitution pathway,VEH-UK-23,UK-Australia Space Bridge Framework Arrangement,annex or project arrangement,The UK-Australia Space Bridge is the standing civil framework through which launch and space-industry collaboration with the UK is channelled.,Add a launch-collaboration annex covering UK payload demand for Australian spaceports (vehicle in force since February 2021).,2026-27
AUS-IN-04,Sovereign launch and reconstitution pathway,VEH-INDIA-31,Space MAITRI mission launch agreement (Space Machines Company - NewSpace India Limited),contract,The Space MAITRI launch agreement is Australia's only contracted launch line with India and a template for follow-on access to Indian launch capacity.,"Hold the MAITRI launch slot (reported NET 2027, unscheduled as of March 2026 - EV-INDIACOC-10, TO_VERIFY) and scope a follow-on launch option with NSIL.",NET 2027 (TO_VERIFY)
AUS-IN-02,Space control to deny interference or attack,VEH-MULTILATERAL-11,Operation Olympic Defender (multinational force),parent instrument,MNF Operation Olympic Defender is the standing multinational vehicle through which Australia exercises its funded space-control commitment (Operation Dyurra contribution).,"Define the Australian input to the MNF-OOD ""defence of orbital assets"" concept of operations expected complete by end-2026, building on the spring 2026 Operation Selene serial (EV-MULTILAT-19).",H2 2026
AUS-IN-02,Space control to deny interference or attack,VEH-MULTILATERAL-10,Combined Space Operations (CSpO) Initiative,forum agenda,The CSpO Principals' Board directed a redoubling of capability delivery in support of MNF-OOD at its 17 April 2026 meeting.,"Table an expanded Australian sensor-and-personnel offer at the next Principals' Board (cadence evidenced: 2-4 December 2025 Toulouse, 17 April 2026 Colorado Springs - EV-MULTILAT-12, EV-MULTILAT-13).",next Principals' Board cycle
AUS-IN-02,Space control to deny interference or attack,VEH-MULTILATERAL-17,Schriever Wargame (Australian participation),exercise serial,Schriever Wargame is the coalition venue where space-control concepts are stress-tested; August 2025 was the last iteration planned unilaterally.,Secure Australian planning roles in the first co-planned Schriever iteration after the August 2025 wargame (EV-MULTILAT-17).,2026-27 wargame cycle
AUS-IN-02,Space control to deny interference or attack,VEH-US-24,Enhanced Space Cooperation MoU (USSPACECOM - Australian Defence Space Command),annex or project arrangement,The 2023 USSPACECOM-Defence Space Command Enhanced Space Cooperation MoU is the bilateral instrument beneath operational space-control cooperation.,Scope a space-control annex consistent with the June 2026 Statement of Intent on military space operations (EV-USSFFORC-12).,2026-27
AUS-IN-05,Defence space workforce build,VEH-US-24,Enhanced Space Cooperation MoU (USSPACECOM - Australian Defence Space Command),annex or project arrangement,"The Enhanced Space Cooperation MoU underpins Australian embeds and liaison posts in USSF/USSPACECOM - the fastest workforce maturation channel (an Australian O-6 is deputy commander of US Space Forces Indo-Pacific, EV-USSFFORC-11).",Expand embed and exchange billets following the inaugural ADF Space Initial Employment Training graduation of June 2026 (EV-USSFFORC-12).,2026-27 posting cycle
AUS-IN-05,Defence space workforce build,VEH-MULTILATERAL-30,Joint Commercial Operations (JCO) cell participation (US-led multinational commercial SDA),annex or project arrangement,The Joint Commercial Operations construct gives Australian operators a qualification pipeline: the 1SSU Commercial Data Mission Centre delivered Australia's first international JCO-200 course in September 2025.,"Schedule the next JCO-200 course serial at the Adelaide CDMC and open seats to partner personnel (EV-JAPANSDA-16, EV-JAPANSDA-17).",2026 course programme
AUS-IN-05,Defence space workforce build,VEH-JAPAN-09,Japan-Australia 2+2 Foreign and Defence Ministerial Consultations,policy dialogue,"The Japan 2+2 mandated space dialogues and unit-level exchanges (5 September 2025), and reciprocal operations-command liaison exchanges are commencing.",Convert the commencing liaison-officer exchange (EV-JAPANSDA-02) into a standing reciprocal space-unit exchange line at the next 2+2 (12th held 5 September 2025).,next 2+2 cycle
AUS-IN-05,Defence space workforce build,VEH-MULTILATERAL-16,Exercise Global Sentinel (USSPACECOM space domain awareness exercise series),exercise serial,Global Sentinel is the widest multinational SDA exercise available to Australian operators for repetitions alongside 30 nations.,"Bid additional Australian analyst seats for the next Global Sentinel after GS25 (28 April - 9 May 2025, EV-MULTILAT-16).",next Global Sentinel iteration
AUS-IN-06,National space policy unifying civil and security settings,VEH-US-39,Australian Space Agency - US Statement of Intent on SSA Cooperation (civil),policy dialogue,The ASA-US civil SSA Statement of Intent is a live test of whether Australian civil and security space settings can be worked coherently with one partner.,Confirm the TraCSS pathway under US funding uncertainty (EV-USSCSPAC-17) and record the civil-defence interface lessons for the national policy case.,2026
AUS-IN-06,National space policy unifying civil and security settings,VEH-MULTILATERAL-08,Quad Space Working Group,forum agenda,The Quad space working group is the venue where Australia's civil space commitments meet those of security partners - exposing the cost of the missing national policy.,"Consolidate a single Australian civil-security space position for the next Quad cycle (11th Foreign Ministers' Meeting held 26 May 2026, EV-PACIFICC-17).",next Quad summit/FMM cycle
AUS-IN-06,National space policy unifying civil and security settings,VEH-MULTILATERAL-15,UN Committee on the Peaceful Uses of Outer Space (COPUOS) membership,forum agenda,COPUOS membership carries Australia's norms and space-traffic positions; a unified national policy would strengthen the mandate.,Align COPUOS positions with the SSA/space-traffic priorities in the ASA-OSC SoI (EV-USSCSPAC-16).,annual COPUOS cycle
AUS-IN-22,"USSF Force Design integration window (IPS LOE 1, 2025-26)",VEH-US-25,"Statement of Intent on Space Cooperation (USSF - Australian Space Command, June 2026)",parent instrument,The 3 June 2026 USSF-Australian Space Command Statement of Intent is the direct instrument for the Force Design window - service-chief signatures on deepening military space operations cooperation.,"Commit named Australian planners against The Objective Force 2040 baseline (released 15 April 2026) through the SF/S9 staff group established 21 April 2026 (EV-USSFFORC-06, EV-USSFFORC-07, EV-USSFFORC-12).",2026 - window open now
AUS-IN-22,"USSF Force Design integration window (IPS LOE 1, 2025-26)",VEH-US-24,Enhanced Space Cooperation MoU (USSPACECOM - Australian Defence Space Command),annex or project arrangement,The Enhanced Space Cooperation MoU (2023) is the standing command-level instrument beneath the SoI for staff talks and planner access.,"Add a force-design coordination annex reflecting the IPS LOE 1 tasks reassigned to SF/S9 after Space Futures Command was not activated (EV-USSFFORC-05, EV-USSFFORC-10).",2026-27
AUS-IN-22,"USSF Force Design integration window (IPS LOE 1, 2025-26)",VEH-US-06,Enhanced Space Cooperation (US Force Posture Initiative),annex or project arrangement,The Enhanced Space Cooperation force posture initiative anchors the physical/hosting dimension of force-design integration on Australian territory.,"Map Australian hosting equities (DARC, SST, C-band) into objective-force architecture submissions (EV-USSFFORC-17, EV-USSFFORC-18).",2026-27
AUS-IN-22,"USSF Force Design integration window (IPS LOE 1, 2025-26)",VEH-US-22,Combined Space Operations (CSpO) Initiative,forum agenda,CSpO is the multilateral hedge: force-design alignment briefed through CSpO keeps other allies interoperable with the same baseline.,Brief Australian force-design participation at the next CSpO Principals' Board (last met 17 April 2026 - EV-MULTILAT-13).,next Principals' Board cycle
AUS-IN-24,Southern-hemisphere geography and ground-segment hosting as the national value proposition,VEH-INDIA-30,Cocos (Keeling) Islands temporary TT&C tracking terminal for Gaganyaan,contract,The Cocos (Keeling) TT&C terminal - commissioned under ISRO contract with Nova Systems as project manager - is the operating proof that Australian geography converts to partnership currency.,"Sustain tracking support through the Gaganyaan uncrewed G1 mission (officially likely H2 2026, with reported slip risk to Q3 2027 - EV-INDIACOC-14, EV-INDIACOC-15) and price the follow-on as an enduring hosted service.",H2 2026 - 2027 (G1 dependent)
AUS-IN-24,Southern-hemisphere geography and ground-segment hosting as the national value proposition,VEH-US-27,US-Australia Technology Safeguards Agreement (TSA),parent instrument,The TSA converts Australian launch/return geography into a usable US market offering - the second pillar of the geography value proposition.,Land a first TSA-governed launch campaign to give the geography offer a commercial precedent (EV-USSFFORC-15).,2026-28
AUS-IN-24,Southern-hemisphere geography and ground-segment hosting as the national value proposition,VEH-US-21,Deep Space Advanced Radar Capability (DARC) Trilateral MoU,parent instrument,"DARC hosting extends the geography proposition into deep-space sensing - the third pillar, already delivering.",Document hosting terms and offsets as a reusable national template before DARC full operations expected 2027 (EV-SDAPROGR-09).,before 2027
AUS-IN-24,Southern-hemisphere geography and ground-segment hosting as the national value proposition,VEH-JAPAN-36,JAXA-Australian Space Agency Memorandum of Cooperation on space cooperation for peaceful purposes,annex or project arrangement,The JAXA-ASA MoC carries ground-segment and sample-return heritage (Woomera) that can be repeated for Japanese missions.,Offer TT&C/ground-segment hosting for Japan's FY2026 SDA satellite programme under the MoC (EV-JAPANSDA-13).,FY2026-27 (Japan programme dependent)
AUS-IN-21,Civil SSA and space traffic cooperation,VEH-US-39,Australian Space Agency - US Statement of Intent on SSA Cooperation (civil),parent instrument,"The ASA-Office of Space Commerce Statement of Intent (17 October 2024) is the operating civil SSA instrument, exposed to US TraCSS funding uncertainty.","Confirm the TraCSS data pathway and agree a fallback exchange mode given reported US funding cuts (EV-USSCSPAC-16, EV-USSCSPAC-17).",2026
AUS-IN-21,Civil SSA and space traffic cooperation,VEH-MULTILATERAL-15,UN Committee on the Peaceful Uses of Outer Space (COPUOS) membership,forum agenda,COPUOS is the standing multilateral venue for space-traffic and debris norms where civil SSA cooperation is legitimised.,Align Australian debris-monitoring positions with the ASA-OSC SoI work programme (EV-USSCSPAC-16).,annual COPUOS cycle
AUS-IN-21,Civil SSA and space traffic cooperation,VEH-MULTILATERAL-30,Joint Commercial Operations (JCO) cell participation (US-led multinational commercial SDA),annex or project arrangement,JCO's commercial-unclassified construct is the practical bridge between civil SSA data and defence SDA operations.,Verify the JCO participation instrument (vehicle TO_VERIFY) and route civil-usable commercial SSA products through the Adelaide CDMC (EV-JAPANSDA-16).,2026
AUS-IN-23,Export-control geometry: AUKUS licence-free versus permits for all other partners,VEH-UK-13,AUKUS licence-free defence trade environment (Defence Trade Controls Amendment Act 2024 / UK AUKUS Nations OGL / US ITAR-EAR exemptions),parent instrument,The AUKUS licence-free environment is the favourable side of the export-control geometry - most DSGL space technology moves permit-free among AU/UK/US.,"Publish internal guidance mapping which space collaboration lines qualify licence-free versus permit-required (EV-DECDSGL-21, EV-AUKUSLFE-14).",2026
AUS-IN-23,Export-control geometry: AUKUS licence-free versus permits for all other partners,VEH-US-11,Treaty Concerning Defense Trade Cooperation (DTCT),parent instrument,The Defense Trade Cooperation Treaty remains the treaty-level US channel for controlled-technology movement outside the AUKUS exemption categories.,Route MTCR-excluded items (launch-vehicle technology remains excluded from the AUKUS exemption) through DTCT/individual-licence planning (EV-AUKUSLFE-05).,standing
AUS-IN-23,Export-control geometry: AUKUS licence-free versus permits for all other partners,VEH-INDIA-14,"Australia-India Partnership on Cyber, Critical Technologies and Supply Chains (PACTS)",policy dialogue,The July 2026 Australia-India PACTS partnership is the newest venue to streamline critical-technology and supply-chain settings with a permit-required partner.,"Use the PACTS work programme (in force July 2026) to pre-clear the permit pathway for Space MAITRI follow-on hardware (EV-DECDSGL-21, EV-INDIACOC-08).",2026-27
AUS-IN-23,Export-control geometry: AUKUS licence-free versus permits for all other partners,VEH-JAPAN-08,Agreement concerning the Transfer of Defence Equipment and Technology,parent instrument,The 2014 Defence Equipment and Technology Transfer Agreement is the standing legal basis for controlled space-technology movement with Japan.,"Confirm the agreement covers planned SDA data-system and QZSS ground-segment collaboration, and sequence DEC permits early (EV-DECDSGL-22).",2026-27
AUS-IN-20,Pacific space-enabled connectivity and resilience assistance,VEH-MULTILATERAL-09,Indo-Pacific Partnership for Maritime Domain Awareness (IPMDA),parent instrument,IPMDA is the operating Quad arrangement that already delivers commercial satellite RF data to Pacific partners - the established channel for space-enabled assistance.,"Extend the satellite RF data provision recommitted at the 10th and 11th Quad Foreign Ministers' Meetings (1 July 2025; 26 May 2026 - EV-PACIFICC-16, EV-PACIFICC-17) into the Pacific tier Australia carries (EV-PACIFICC-21).",2026-27
AUS-IN-20,Pacific space-enabled connectivity and resilience assistance,VEH-PACIFIC-24,Pacific Fusion Centre (Port Vila),annex or project arrangement,The Pacific Fusion Centre is the Boe Declaration institution through which IPMDA Pacific delivery is routed - the partner-accepted insertion point for space-derived data.,"Formalise a space-derived MDA data feed to the Pacific Fusion Centre alongside the FFA channel (EV-PACIFICC-14, EV-PACIFICC-15).",2026-27
AUS-IN-20,Pacific space-enabled connectivity and resilience assistance,VEH-PACIFIC-27,Boe Declaration on Regional Security,parent instrument,The Boe Declaration's expanded security concept is the Pacific-endorsed frame that keeps connectivity and MDA assistance from reading as an external security agenda.,Badge all space-enabled connectivity assistance to Boe/2050 Strategy priorities (EV-PACIFIC-21).,standing
AUS-IN-20,Pacific space-enabled connectivity and resilience assistance,VEH-PACIFIC-25,"Pacific Islands Forum membership (Australia, founding member)",forum agenda,PIF membership and the Lagatoi Declaration digital agenda give the regional forum route for LEO-connectivity resilience standards and gateway models.,"Advance the community-gateway resilience model (Nauru December 2024; Kosrae February 2025 precedents - EV-PACIFICC-05) through the PIF ICT ministerial track (Lagatoi Declaration, EV-PACIFICC-19).",next PIF ICT ministerial cycle
AUS-IN-13,Resourcing execution risk: domestic approval gap and US appropriations exposure,VEH-US-02,AUSMIN (Australia-United States Ministerial Consultations),forum agenda,AUSMIN is where US-exposed program terms are re-baselined when US budgets restructure (DEP-10 treatment).,"Table re-baselined terms for US-exposed programs (Landsat Next first, GL-33) at the next AUSMIN (last held 8 December 2025).",next AUSMIN (not yet scheduled as of 18 Jul 2026)
AUS-IN-16,Continuity of space-enabled critical national functions,VEH-US-26,Wideband Global SATCOM (WGS) Cooperation MoU,contract,The WGS MoU's assured-access model is the register's exemplar of a priority-access arrangement - the contractual form goodwill space services need (SCN-02).,"Upgrade goodwill space-service arrangements to priority-access/availability terms, starting with the OPP-14 availability contract and OPP-20 DAP renewal clause sets (V7 s53/s54).",with OPP-14 contract and OPP-20 DAP renewal
AUS-IN-19,"Sovereign R&D, industrial base and cal/val niche as partnership currency",VEH-UK-13,AUKUS licence-free defence trade environment (Defence Trade Controls Amendment Act 2024 / UK AUKUS Nations OGL / US ITAR-EAR exemptions),parent instrument,The AUKUS licence-free environment carries the sovereign quantum-PNT line (QuantX clocks contracted 2024 expressly as enabling AUKUS partners' PNT development) - offer-side currency in tradeable form.,"Structure the TEMPO.Space clock demonstration and one cal/val service as priced Australian offsets in the next US/AUKUS negotiation round (EV-RESILIEN-14, EV-USSCSPAC-03).",2026-27
