id,opportunity_id,partner_id,component,gap_type,description,lever,owner,action,due_date,status
GL-11,OPP-06,P-IN,security,Security/release,No evidenced information-security arrangement for defence space data with India.,Release matrix and new information-protection arrangement.,TO_ASSIGN (proposed class: Defence Security Division),Execute lever: Release matrix and new information-protection arrangement.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-12,OPP-07,P-US,security,Evidence,Release tier for USSF Force Design artefacts to Australia unconfirmed.,Research/validation task through the ACSO/FCP channel.,TO_ASSIGN (proposed class: DSpC (ACSO/FCP channel)),Execute lever: Research/validation task through the ACSO/FCP channel.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-13,OPP-07,P-US,resource,Resource,Australian space planning workforce nascent; first dedicated graduates June 2026.,Workforce exchange and secondment into Force Design teams.,TO_ASSIGN (proposed class: DSpC workforce),Execute lever: Workforce exchange and secondment into Force Design teams.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-14,OPP-08,P-US,security,Industrial/legal,MTCR launch-vehicle technology on the Excluded Technology List; TSA segregated areas bar Australian personnel access.,Bounded challenge and legal annex; individual US licences under the TSA framework; define what technology access Australia actually seeks.,TO_ASSIGN (proposed class: Defence Export Controls + CASG),Execute lever: Bounded challenge and legal annex; individual US licences under the TSA framework; define what technology access Australia actually seeks.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-15,OPP-08,P-DE,technical,Technical,RFA ONE unflown; Whalers Way campaign dormant.,Compatibility study and trial gate keyed to a successful RFA maiden flight.,TO_ASSIGN (proposed class: ASA/CASG launch line),Execute lever: Compatibility study and trial gate keyed to a successful RFA maiden flight.,RFA ONE maiden-flight milestone,Open
GL-16,OPP-08,P-DE,resource,Resource,German partner priorities concentrated at SaxaVord.,Defer resource commitment; review at maiden-flight milestone.,TO_ASSIGN (proposed class: ASA/CASG launch line),Execute lever: Defer resource commitment; review at maiden-flight milestone.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-17,OPP-09,P-CSPO,security,Security/release,Releasability differentials across ten CSpO partners; Japan not an MNF-OOD member.,Tiered release matrix for contribution offers ahead of the December 2026 Oslo meeting.,TO_ASSIGN (proposed class: DSpC (CSpO lead)),Execute lever: Tiered release matrix for contribution offers ahead of the December 2026 Oslo meeting.,2026-12 (Oslo CSpO Principals' meeting),Open
GL-18,OPP-09,P-CSPO,resource,Resource,Small Australian space workforce constrains expanded MNF-OOD contribution.,Prioritisation and training pipeline expansion (SIET follow-on cohorts).,TO_ASSIGN (proposed class: DSpC workforce),Execute lever: Prioritisation and training pipeline expansion (SIET follow-on cohorts).,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-19,OPP-10,P-JP,sovereignty,Sovereignty,No sovereign fallback for weather/EO services; continuity rests on Japanese policy decisions.,Fallback and substitution analysis (sovereign EO business case revisit; alternative providers).,TO_ASSIGN (proposed class: Defence S&P + Geoscience Australia),Execute lever: Fallback and substitution analysis (sovereign EO business case revisit; alternative providers).,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-20,OPP-10,P-US,resource,Policy,Landsat Next timeline uncertain in US budget debates despite Australian commitment.,Senior outcome/policy dialogue; contingency EO sourcing map.,TO_ASSIGN (proposed class: Geoscience Australia + DFAT),Confirm the enacted FY2026 Interior/NASA appropriations outcome for Landsat Next/SLI and seek re-baselined partnership terms (with GL-33).,first AUSMIN after enacted FY2026 outcome validated (GL-33),Open
GL-21,OPP-10,P-QUAD,instrument,Instrument,Quad EO commitments are non-binding and the portal aggregates links only.,Data-sharing protocol with security annex if reliability is required.,TO_ASSIGN (proposed class: DFAT space + ASA),Execute lever: Data-sharing protocol with security annex if reliability is required.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-22,OPP-11,P-PIF,mechanism,Instrument,No delivery mechanism for Pacific LEO-connectivity assistance selected.,"Commercial service contract with sovereignty conditions (continuity, data rights, surge) per the s54 attributes.",TO_ASSIGN (proposed class: DFAT Pacific + DSpC),"Execute lever: Commercial service contract with sovereignty conditions (continuity, data rights, surge) per the s54 attributes.",TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-23,OPP-11,P-PIF,technical,Evidence,LEO service integration parameters for Pacific contexts unassessed.,Study TOR through PIF working-group mechanisms.,TO_ASSIGN (proposed class: DFAT Pacific + DSpC),Execute lever: Study TOR through PIF working-group mechanisms.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-24,OPP-12,P-IN,security,Security/release,DEC permits required for spacecraft technology transfers to India (DSGL 9A004).,Permit strategy pre-cleared with DEC; assess Foreign Country List settings.,TO_ASSIGN (proposed class: Defence Export Controls),Execute lever: Permit strategy pre-cleared with DEC; assess Foreign Country List settings.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-25,OPP-13,P-AE,instrument,Instrument,No defence instrument with the UAE; 2019 MoU civil and expressly non-binding.,Interim standards-track engagement (IEEE P3349/P3536); new defence MoU plus information-sharing arrangement only if strategy directs.,TO_ASSIGN (proposed class: International Policy Division (Gulf desk)),Execute lever: Interim standards-track engagement (IEEE P3349/P3536); new defence MoU plus information-sharing arrangement only if strategy directs.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-26,OPP-14,P-US,authority,Authority,"SPA9102 reported to hold First Pass approval only; Second Pass required to contract (EV-MILSATCO-09, TO_VERIFY).",Delegation mapping and Second Pass scheduling through the approval cycle in parallel with the RFT response.,TO_ASSIGN (proposed class: CASG Air Defence & Space Systems),Confirm Second Pass timing against the ~November 2026 tender-response date and name the approving authority.,2026-11 (before contract-award decision),Open
GL-27,OPP-14,P-US,forum,Evidence,RFT close date (19 August 2026) and First-Pass-only status rest on a TO_VERIFY AusTender record (EV-MILSATCO-09); window otherwise anchored by EV-MILSATCO-07 (FACT/High).,Research task: verify ATM ADSS/NOT/84124/1 on AusTender - the cheapest verification in the register.,TO_ASSIGN (proposed class: CASG Air Defence & Space Systems),"Verify the AusTender notice ID, close date and First-Pass status; propagate any correction to OPP-01/OPP-14 treatment rationales.",2026-08-01 (before responses are committed),Open
GL-28,OPP-18,P-US,instrument,Instrument,JCO participation instrument recorded TO_VERIFY (VEH-MULTILATERAL-30); the May 2026 expanded-partnership/PWSA-connection report also TO_VERIFY (EV-SDAPROGR-13).,Partner validation of the JCO participation vehicle and the PWSA-connection intent; per-provider commercial contracts continue meanwhile.,TO_ASSIGN (proposed class: DSpC / 1SSU CDMC line),Verify VEH-MULTILATERAL-30 participation terms and EV-SDAPROGR-13; restate OPP-18's hedge value against the verified terms.,2026-Q4 (gates the reported late-2026 PWSA timeline),Open
GL-29,OPP-18,P-US,resource,Resource,No JP9360 tranche award evidenced 2025-26 to fund the sovereign SDA layer at scale (EV-SDAPROGR-03); EOS has pivoted away from SDA (EV-SDAPROGR-16).,Subordinate to the single portfolio funding decision 'DARC support vs JP9360 tranches' (GL-03/GL-08); diversify the sensor mix away from EOS dependence.,"TO_ASSIGN (proposed class: Defence Strategy, Policy & Industry)",Carry OPP-18's funding ask into the same portfolio decision as GL-03/GL-08 with a stated priority order among OPP-02/OPP-03/OPP-18.,before next AUSMIN (same decision as GL-03/GL-08),Open
GL-30,OPP-01,P-US,sovereignty,Sovereignty,Structural dependency on US and commercial SATCOM providers; fallback undefined until the multi-orbit acquisition is approved (EV-AUINPUTS-20).,"Sovereignty decision framework per V7 s53: record dependency tolerance, fallback (C1/IS-22 bridge, 2028 demonstrator), exit and data-control conditions in the wideband decision.",TO_ASSIGN (proposed class: Defence Space Command),"Write the s53 sovereignty condition set into the wideband/alternative-communications scoping decision; interim milestones: wideband Second Pass target, WGS access-extension negotiation start, early-2028 demonstrator decision gate (EV-MILSATCO-19).",wideband scoping decision (next IIP cycle); demonstrator gate early 2028,Open
GL-31,OPP-03,P-AUKUS,operational,Operational,DARC Early Use run remotely by the US 20th Space Surveillance Squadron; Australian data-access terms unconfirmed while delivery accelerates (EV-SDAPROGR-08).,Negotiate Australian data-access terms in the trilateral governance forum before 2027 full operations; add to the next AUSMIN/ESC agenda item.,TO_ASSIGN (proposed class: DSpC + International Policy Division),"Agree DARC data-access terms (products, latency, tasking share) before FOC; report position at the next trilateral program review.",before 2027 full operations (DEP-06 precondition),Open
GL-32,OPP-07,P-US,sovereignty,Sovereignty,Influence-through-contribution model with no legal entitlement to Force Design outcomes (EV-USSFCSPO-20).,Record dependency tolerance and an institution-agnostic fallback (CSpO/planner relationships per SCN-04) before deepening the embed line.,TO_ASSIGN (proposed class: Defence Space Command),Document the accepted-influence risk and fallback in the participation decision; review after release-tier confirmation (GL-12).,with the GL-12 release-tier decision,Open
GL-33,OPP-10,P-US,resource,Evidence,Resource RED rests on the 2 May 2025 FY2026 budget REQUEST (EV-EOCONTIN-08); enacted appropriations outcome and the reported 15 Aug 2025 restructured-requirements dissemination are not in the register.,"Two dated validation tasks: (1) enacted FY2026 Interior/NASA appropriations outcome for Landsat Next/SLI; (2) the 15 Aug 2025 restructured-requirements dissemination (EV-EOCONTIN-09, TO_VERIFY).",TO_ASSIGN (proposed class: Geoscience Australia + DFAT),"Validate both records; if funding restored, re-run the pathway (RED overtaken); if not, raise contingency weight per exit_condition.",2026-09 (before further Landsat-specific commitments),Open
GL-34,OPP-10,P-JP,resource,Resource,"Himawari-10 spacecraft build delayed; ALOS-4 access channel unresolved (EV-EOCONTIN-14; EV-EOCONTIN-15, TO_VERIFY/Low).",Partner validation of the revised Himawari-10 schedule via the BoM-JMA arrangement; negotiate the ALOS-4 access arrangement (AUS-IN-10 leverage point).,TO_ASSIGN (proposed class: Bureau of Meteorology + Geoscience Australia),Confirm revised delivery schedule and define comparable-cadence contingency imagery per DEP-02's success condition.,TO_ASSIGN (propose: next BoM-JMA program review),Open
GL-35,OPP-03,P-AUKUS,sovereignty,Sovereignty,"Allied-hosting vs sovereign-SDA tension: hosting the trilateral radar while the sovereign JP9360 layer is unfunded leaves attribution dependent on allied feeds (EV-AUINPUTS-14, Low - validation tasked at GL-03).","Sovereignty conditions per V7 s53 in the trilateral relationship: data-access guarantee (GL-31), hosting contributions counted as offsets (C-23/AUS-IN-17), and the single portfolio funding decision (GL-08) protecting the sovereign layer.","TO_ASSIGN (proposed class: Defence Space Command + Strategy, Policy & Industry)","Record the sovereignty condition set (data access, offsets, funding protection) in the trilateral program governance before 2027 full operations.",before 2027 full operations (with GL-31),Open
