tranche,name,window,opportunity_id,title,partner,band,pathway,treatment,owner,vehicles,next_action,date_or_window,cost_signal,off_ramp
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-15,Layered resilient military PNT - AUKUS quantum-clock line (sovereign-delivery recommendation attached),P-AUKUS,B (77 raw),AMBER,Build pathway (AMBER),DSTG,VEH-UK-13 (AUKUS licence-free environment - carries the QuantX clock line contracted 2024),Secure a named AUKUS Pillar 2 PNT workstream and program funding by the next AUKUS review point; put the quantum-PNT sovereign-delivery recommendation to governance (PD-16) - demonstrator momentum (March 2026 launch) keeps the window warm.,Next AUKUS review point,TBD (program funding is the recorded gap),Continue the quantum-clock line nationally without the AUKUS badge (recorded exit condition).
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-15,Layered resilient military PNT - M-code access (MGUE accession),P-US,B (73 raw / 77 renormalised sensitivity view),AMBER,Build pathway (AMBER),DSC,VEH-US-25 (USSF-ASC SoI - the service-chief fallback channel for the MGUE ask if the AUSMIN slate is full); VEH-US-02 (AUSMIN),Confirm MGUE PA accession and releasability before mature fielding proposals; route the ask via the VEH-US-25 service-chief channel if the next-AUSMIN slate is full (consolidated-agenda ruling); trial-range contributions proceed as pathway work.,Next AUSMIN-cycle review (accession check is the recorded exit trigger),TBD,"Shift weight to the commercial LEO-PNT layer (OPP-16, recorded second_best) and the sovereign quantum line if accession remains unconfirmed."
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-19,Quad IPMDA satellite RF data expansion for Pacific maritime awareness,P-QUAD,B (78 raw),AMBER,Build pathway (AMBER),Strategy&Plans,Quad IPMDA construct (via P-QUAD instruments; VEH-JAPAN-40 Quad space working group TO_VERIFY),Lodge the Australian resource bid for expansion; test Quad funding authority beyond the pilot at the next summit cycle.,Next Quad summit cycle,TBD (the resource bid IS the lever),Expand the direct DFAT-FFA commercial contract (recorded exit condition) if Quad funding authority remains undefined.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-02,Southern-hemisphere SDA - Japan second leg,P-JP,B (76 raw),AMBER,Build pathway (AMBER),Strategy&Plans,VEH-JAPAN-12 (FSDC - annex host); VEH-JAPAN-07 (ISA - release basis),Agree the FSDC space annex and SDA release matrix (GL-04/GL-05) within the next 2+2 cycle - shares the annex vehicle with the accelerated OPP-17 scoping.,Next 2+2 cycle,TBD,Fall back to the CSpO data-sharing track (recorded exit condition) if no annex or release matrix is agreed within the cycle.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-09,Space-control contribution through MNF Operation Olympic Defender,P-CSPO,"B (74 raw - reverted from a silent v2 re-score, declared)",AMBER,Build pathway (AMBER),DSC,"VEH-MULTILATERAL-11 (Operation Olympic Defender, In force); VEH-MULTILATERAL-10 (CSpO Initiative, In force)","Build the tiered release matrix for contribution offers ahead of the December 2026 Oslo CSpO Principals' meeting (GL-17); sequence expanded contribution against workforce reality (GL-18, DEP-09).",Before Dec 2026 (Oslo); expansion decisions 2027,TBD,"Scale contribution to the bilateral US channel (ESC MoU, recorded exit condition) if release-differential and workforce gaps are not levered by Oslo."
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-06,Indian Ocean ground-segment partnership with India (Gaganyaan line),P-IN,B (74 raw),AMBER,Build pathway (AMBER),Strategy&Plans,"VEH-INDIA-29 (ISRO-ASA Gaganyaan Implementing Arrangement, In force - the proven civil base); VEH-INDIA-15 (2+2 Dialogue, In force)",Scope a defence-space annex under the 2026 Joint Declaration by the next annual summit cycle; establish the information-security basis (GL-11).,Next annual summit cycle,TBD,Revert to the civil-only ISRO-ASA track (recorded exit condition) if a defence annex cannot be scoped.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-12,Space MAITRI follow-on: debris and space-sustainability missions with India,P-IN,B (70 raw),AMBER,Build pathway (AMBER),ASA,"VEH-INDIA-29 (ISRO-ASA Implementing Arrangement, In force)",Scope the follow-on mission (first mission funded and contracted); pre-clear the DEC permit strategy for DSGL 9A004 spacecraft technology (GL-24) before mission commitment.,Before follow-on mission commitment,Minor (follow-on scoping is cheap - recorded rationale; mission costs TBD),Revert to government-mission framing under ISRO-ASA instruments (recorded exit condition) if the permit path is not cleared.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-10,"EO continuity - US Landsat Next leg (resource RED, held pending re-baseline)",P-US,B (72 raw),RED,Build pathway (RED - resource; RED correct but rests on the FY2026 budget REQUEST pending the enacted outcome),TBD,"VEH-US-02 (AUSMIN - the re-baseline forum); Landsat Next partnership (A$448.7m/11-year Australian commitment, EV-USSCSPAC-18)","Validate the enacted FY2026 Interior/NASA appropriations outcome and the 15 Aug 2025 restructured-requirements dissemination by Sep 2026 (GL-33); if funding restored, re-run the pathway (RED overtaken); seek re-baselined partnership terms at the first AUSMIN after validation (GL-20). Australian grou",Sep 2026 (validation); first AUSMIN after enacted outcome (re-baseline),Program-level (existing A$448.7m commitment exposed; no new ask until re-baseline),Shift contingency weight to Japan/Copernicus/commercial legs and pause new Landsat-specific commitments (recorded exit condition) if terms are not re-baselined.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-10,EO continuity - Quad diversity channel,P-QUAD,B (65 raw),AMBER,Build pathway (AMBER),Strategy&Plans,Quad EO portal/commitments (non-binding; VEH-JAPAN-40 TO_VERIFY),Test for a funded data-hosting commitment in the next Quad summit cycle (GL-21).,Next Quad summit cycle,None (diversity channel; no commitment until funded),Treat as a diversity channel only and drop from continuity planning (recorded exit condition) if no funded commitment emerges.
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-20,Commercial EO assured-access layer (Maxar DAP line and sovereign tasking),P-US,B (73 raw),AMBER,Build pathway (AMBER),DSC,"Maxar DAP contract line (DEF799 status TO_VERIFY, EV-EOCONTIN-20)","Verify DEF799 program status/ownership by DAP renewal; negotiate the V7 s54 crisis-priority/availability clause set into the renewal (SCN-02/AUS-IN-16 conversion - tracked as an action, not a 'should') so the OPP-10 hedge becomes contractual.",By DAP renewal,TBD (clause premium unquantified),"Move to multi-vendor contracts (Planet-class, NSW precedent - recorded exit condition) if DEF799 status cannot be verified by renewal."
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-17,Japan defence-space upgrade: dedicated arrangement (delivery),P-JP,B (76 raw),AMBER,Build pathway (AMBER) - scoping accelerated into T1,Strategy&Plans,VEH-JAPAN-09 (2+2); VEH-JAPAN-12 (FSDC),"Negotiate the dedicated bilateral arrangement from the T1 scoping product, inside Japan's FY2026 Space Operations Command stand-up window; Japan's policy documents currently name only the US - the annex prevents a US-only pattern normalising.",FY2026 Space Operations Command stand-up window; delivery 2027,TBD,Hold at CSpO-tier sharing plus JCO Pacific Cell (recorded exit condition).
T2,Tranche 2 - Build the pathways,2027-28 (gate-opening levers run from late 2026),OPP-08,US commercial launch from Australian spaceports under the TSA,P-US,B (72 raw),RED,Build pathway (RED - security; acceptance-test case retained by design),ASA,"VEH-US-27 (Technology Safeguards Agreement - In force per EV-USSFFORC-15 FACT/High, EIF 23 July 2024; label TO_VERIFY pending Australian Treaty Series check, RECONCILED)",Proceed with hosting-revenue activity only; MTCR launch-vehicle exclusions on the Excluded Technology List block technology transfer - test for MTCR/ETL licensing relief at the next export-control review (GL-14).,Next export-control review,None (hosting revenue is income-side; no technology-access spend while RED),Hold at pathway-design and shift weight to the Gilmour Eris sovereign line (recorded exit condition) if no relief is evidenced.
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-02,Southern-hemisphere SDA - Germany leg,P-DE,B (69 raw / 77 renormalised sensitivity view; +2 from the Germany DoI re-score),AMBER,Explore (AMBER),Strategy&Plans,"VEH-GERMANY-09 (Declaration of Intent on a global space-surveillance sensor network, In force March 2026; residual gap is the implementing arrangement)","Validate SDA releasability (GL-07), then negotiate the implementing arrangement under the DoI before any bilateral design; scope the C-17 German optical ground-station demonstrator (DLR OSIRISv1-UWA TeraNet) as the cheap quick win alongside.",Next IIP/AUSMIN cycle review,Minor (validation and scoping only),Remain at CSpO co-membership (VEH-GERMANY-10) if releasability fails.
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-05,QZSS ground-segment resilience and regional PNT augmentation,P-JP,B (71 raw),AMBER,Explore (AMBER),DSC,VEH-JAPAN-38 (QZSS cooperation and ground-segment hosting - TO_VERIFY),Bounded joint study as first exposure; defence applicability unproven and the only extant arrangements are civil (GL-09).,Bounded study; no delivery commitment,Minor (study only),Close the study without commitment if defence applicability does not prove out.
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-11,Pacific space-enabled connectivity and maritime domain awareness,P-PIF,C (63 raw / 66 renormalised sensitivity view; band B->C after renormalisation removal - treatment unchanged),AMBER,Explore (AMBER),Strategy&Plans,PIF-level frameworks (P-PIF register; delivery mechanism unselected - GL-22),"Scoping study through PIF mechanisms; select a delivery mechanism (GL-22) and assess LEO integration parameters (GL-23) before any commitment. DEP-04 treatment (multi-vendor guidance, community gateways, cable redundancy) proceeds regardless.",Scoping study; no delivery commitment,Minor (study only),Fold into DEP-04 resilience guidance without a Defence program if the study does not support one.
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-16,Commercial LEO-PNT demonstration pathway (GPS-independent signal),P-US,C (58 raw),AMBER,Explore (AMBER),DSTG,Commercial demonstration arrangements (demonstration-stage; no acquisition instrument),Bounded evaluation as insurance for the OPP-15 M-code line; no acquisition case exists yet.,Bounded evaluation,Minor (evaluation only),Close the evaluation; the sovereign quantum line (OPP-15 P-AUKUS) is the retained hedge.
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-08,Launch - Germany leg (RFA at Whalers Way),P-DE,C (59 raw),AMBER,Explore (AMBER),ASA,"Spaceport/range arrangements (project-level; RFA ONE unflown, campaign dormant)",Keep ranges available; re-test once RFA ONE has flown (GL-15 trigger) - no Australian resource commitment warranted yet.,RFA ONE maiden-flight milestone,None (keep-warm only),Already minimal; drop the watching brief if German priorities stay concentrated at SaxaVord (GL-16).
T3,Tranche 3 - Explore and watch,Watching briefs; bounded studies only,OPP-13,UAE space engagement via standards and data-sharing entry points,P-AE,C (53 raw / 56 renormalised sensitivity view),RED,Hold (RED - instrument),Strategy&Plans,"2019 MoU (civil, expressly non-binding - the RED instrument gap, GL-25)","Hold defence-space ambitions until an instrument pathway exists; the only register-supported lever is the low-cost IEEE standards entry (EV-UAE-23), carried in the gap backlog.",No date - Hold until an instrument pathway exists,None,This IS the off-ramp: no resources while the instrument component is RED.
